"","990
035","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
037","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
038","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
201","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","52","3.961","84.6",".","1.9",".",".",".",".","11.5","",".",".","",".","1.9","",".",".",".","."
"HORT
476","Dept. Total","339","3.386","42.8","15.0","22.7","6.8","8.3","1.2","0.9","1.8","",".",".","",".","0.3","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"476
HORT","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","20","2.939","20.0","10.0","40.0","10.0","15.0",".","5.0",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","39","3.116","30.8","17.9","23.1","10.3","15.4",".","2.6",".","",".",".","",".",".","",".",".",".","."
"Junior","","52","3.167","36.5","9.6","30.8","7.7","9.6","5.8",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","114","3.193","36.8","13.2","27.2","8.8","12.3","0.9","0.9",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","225","3.146","34.2","12.9","28.4","8.9","12.4","1.8","1.3",".","",".",".","",".",".","",".",".",".","."
"Special","","11","3.413","36.4","27.3","18.2","9.1",".",".",".",".","",".",".","",".",".","",".",".","9.1","."
"Graduate","","103","3.810","62.1","18.4","10.7","1.9",".",".",".","5.8","",".",".","",".","1.0","",".",".",".","."
"","Dept. Total","339","3.386","42.8","15.0","22.7","6.8","8.3","1.2","0.9","1.8","",".",".","",".","0.3","",".",".","0.3","."
