"PSYCHOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Animal Behavior","449","001","157","2.914","17.2","19.7","25.5","14.0","18.5","5.1",".",".",".",".",".",".",".",".",".","."
"Behavioral Neuroscience","454","001","54","2.852","14.8","11.1","27.8","25.9","18.5","1.9",".",".",".",".",".",".",".",".",".","."
"","455","001","10","2.850","20.0",".","40.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","455","002","9","3.333","33.3","11.1","44.4","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","455","003","13","3.115","23.1","15.4","30.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".","."
"","455","004","9","3.333","44.4","22.2",".","22.2","11.1",".",".",".",".",".",".",".",".",".",".","."
"","455","005","13","3.542","46.2","15.4","23.1","7.7",".",".",".",".",".",".",".",".",".","7.7",".","."
"Lab in Behavioral Neurosci","","Course Total","54","3.236","33.3","13.0","27.8","14.8","9.3",".",".",".",".",".",".",".",".","1.9",".","."
"Honors: Psych of Perception","486","001","13","3.654","46.2","38.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychology of Personality","507","001","197","2.916","10.2","31.5","18.8","20.8","14.7","1.5","2.0",".",".",".",".",".",".","0.5",".","."
"Abnormal Psychology","509","001","255","3.119","36.5","3.9","29.8","7.1","21.2","0.4","0.4","0.8",".",".",".",".",".",".",".","."
"Behavior Pathology:Neuroses","511","001","81","2.790","19.8","13.6","22.2","11.1","24.7","8.6",".",".",".",".",".",".",".",".",".","."
"","517","001","27","3.407","37.0","22.2","29.6","7.4","3.7",".",".",".",".",".",".",".",".",".",".","."
"","517","002","24","3.521","54.2","25.0","12.5","4.2",".",".","4.2",".",".",".",".",".",".",".",".","."
"Intro to Clinical Psych","","Course Total","51","3.461","45.1","23.5","21.6","5.9","2.0",".","2.0",".",".",".",".",".",".",".",".","."
"Psychology of Women","522","001","19","3.237","21.1","26.3","42.1",".","10.5",".",".",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","530","002","57","3.196","21.1","26.3","24.6","22.8","3.5",".",".",".",".",".",".",".",".","1.8",".","."
"Psychology and Law","532","001","191","3.051","13.6","24.6","33.5","14.7","8.4","2.6",".","2.1",".",".",".",".",".","0.5",".","."
"Social Behavior Dynamics","537","001","17","3.188","35.3","11.8","11.8","23.5","11.8",".",".",".",".",".",".",".",".","5.9",".","."
"Human Factors Engineering","549","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Animal Comm & Orig of Lang","550","001","13","2.917","15.4","23.1","7.7","23.1","23.1",".",".","7.7",".",".",".",".",".",".",".","."
"Child Psychology","560","001","119","3.081","30.3","13.4","28.6","5.9","16.8","3.4","0.8","0.8",".",".",".",".",".",".",".","."
"Honors-Psych of Personality","587","002","13","3.808","61.5","38.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stat Anal-Psych Experiments","610","001","13","3.462","30.8","30.8","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in Psych","618","001","10","3.450","40.0","30.0","10.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"Biology of Mind","619","001","25","3.542","48.0","36.0","4.0","4.0",".",".","4.0",".",".",".",".",".",".",".","4.0","."
"Organization and Job Design","653","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","038","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","040","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","047","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","055","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors Seminar in Psych","686","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Research Topics-Psychology","690","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
