"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Teaching of Spanish","356
001","","12","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","358
001","","9","3.722","44.4","55.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","358
002","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pract: Soc Studies-Sec Schl","Course Total","","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg of Hist & Other Soc St","359
001","","18","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Math-Sec Schl","361
001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","362
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
005","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","","40","3.988","97.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prac-Early Chldhd Ed-Kinder","363
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","364
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
364","","26","3.981","96.2","3.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","364
003","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Educ:Preschl-Mid Schl","Course Total","","76","3.993","98.7","1.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","367
001","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","367
002","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Rdg&Lang:Pre-Middl Sch","Course Total","","47","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","368
001","","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","368
002","","25","3.780","64.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg:Preschl-Middl Schl","Course Total","","47","3.830","72.3","21.3","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
001","","22","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","369
002","","25","3.780","68.0","20.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Lang Art:Pre-Middl Sch","Course Total","","47","3.840","74.5","19.1","6.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
001","","22","3.750","63.6","22.7","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
002","","26","3.904","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teach Math:Preschl-Mid Schl","Course Total","","74","3.892","82.4","13.5","4.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
002","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","371
003","","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Soc St:Pre-Middle Schl","Course Total","","72","3.979","97.2","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
001","","22","3.795","81.8","4.5","4.5","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","372
002","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","372
003","","25","3.860","92.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"Tchg Sci:Preschl-Middl Schl","Course Total","","72","3.882","90.3","4.2","1.4","2.8",".","1.4",".",".",".",".",".",".",".",".",".","."
"","373
001","","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
002","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","373
003","","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prac-Math,Sci,SocSt:Pre-Mid","Course Total","","71","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pract: Rdg & Math-Elem Schl","374
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching Science-Sec Schl","390
001","","27","3.741","77.8","7.4","11.1",".",".","3.7",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 87 of 373"
