"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Life Contingencies I","650
001","","29","3.172","20.7","10.3","51.7","17.2","",".",".","",".",".","",".","",".",".","",".","",".","",".",".","."
"Risk Theory","654
001","","12","3.292","41.7","25.0","25.0",".","",".",".","","8.3",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","","41","3.207","26.8","14.6","43.9","12.2","",".","",".","2.4","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","4","3.375","50.0",".","25.0","25.0","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","29","3.052","10.3","20.7","55.2","10.3","",".","",".","3.4","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","33","3.091","15.2","18.2","51.5","12.1","",".","",".","3.0","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","8","3.688","75.0",".","12.5","12.5","",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","41","3.207","26.8","14.6","43.9","12.2","",".","",".","2.4","",".","",".",".","",".","",".","",".",".",".","."
