"Topics in Jewish Studies","","","","","","","","","","","","","","","","","","","","","","","",""
"Rdgs-Contemp Hebrew Lit","533
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"The Holocaust:Facts, Trials","625
001","8","3.523","25.0","37.5","25.0",".",".",".",".","","12.5",".","",".",".","",".","",".","",".",".","."
"Directed Study","699
004","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"JEWISH
510","Dept. Total","238","3.232","26.9","24.8","26.9","8.0","8.4","2.5","",".","2.1","",".",".","",".","",".","",".",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"510
JEWISH","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","6","3.333","16.7","33.3","50.0",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","60","3.208","20.0","28.3","31.7","13.3","6.7",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","48","3.201","27.1","18.8","31.3","10.4","4.2","4.2","",".","2.1","",".",".","",".","",".","",".",".",".","2.1"
"Senior","","121","3.231","28.9","25.6","22.3","5.0","11.6","3.3","",".","3.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","235","3.222","26.0","25.1","27.2","8.1","8.5","2.6","",".","2.1","",".",".","",".","",".","",".",".",".","0.4"
"Special","","1","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","2","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","238","3.232","26.9","24.8","26.9","8.0","8.4","2.5","",".","2.1","",".",".","",".","",".","",".",".",".","0.4"
