"L&S","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","114
001","122","2.602","10.7","11.5","29.5","20.5","14.8","8.2","4.9",".",".",".",".",".",".",".",".","."
"","114
002","178","2.421","10.7","12.4","24.2","7.9","27.0","10.1","7.9",".",".",".",".",".",".",".",".","."
"Algebra and Trigonometry","Course Total","300","2.495","10.7","12.0","26.3","13.0","22.0","9.3","6.7",".",".",".",".",".",".",".",".","."
"","130
001","32","3.922","84.4","15.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","130
002","27","3.296","37.0","18.5","25.9","3.7","14.8",".",".",".",".",".",".",".",".",".",".","."
"","130
003","29","3.448","41.4","24.1","24.1","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"","004
130","16","3.188","12.5","50.0","18.8","12.5",".","6.3",".",".",".",".",".",".",".",".",".","."
"Arithmetical Problm Solving","Course Total","104","3.514","49.0","24.0","16.3","3.8","5.8","1.0",".",".",".",".",".",".",".",".",".","."
"","131
001","15","3.400","26.7","46.7","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","131
002","18","3.472","44.4","27.8","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","131
003","15","3.700","60.0","26.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","131
005","13","3.385","38.5","30.8","7.7","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"Geom Inference & Reasoning","Course Total","61","3.492","42.6","32.8","11.5","6.6","6.6",".",".",".",".",".",".",".",".",".",".","."
"","132
001","30","3.200","36.7","20.0","13.3","6.7","23.3",".",".",".",".",".",".",".",".",".",".","."
"","132
002","31","3.694","51.6","35.5","12.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
004","12","3.458","41.7","25.0","25.0",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Models","Course Total","73","3.452","43.8","27.4","15.1","2.7","11.0",".",".",".",".",".",".",".",".",".",".","."
"","141
001","37","2.811","27.0","8.1","24.3","8.1","18.9","13.5",".",".",".",".",".",".",".",".",".","."
"","141
002","36","2.861","11.1","8.3","58.3","8.3","5.6","5.6","2.8",".",".",".",".",".",".",".",".","."
"Topics in College Math","Course Total","73","2.836","19.2","8.2","41.1","8.2","12.3","9.6","1.4",".",".",".",".",".",".",".",".","."
"","171
001","83","2.241","13.3","7.2","19.3","7.2","28.9","12.0","12.0",".",".",".",".",".",".",".",".","."
"","002
171","38","2.632","5.3","10.5","36.8","10.5","34.2",".","2.6",".",".",".",".",".",".",".",".","."
"","171
003","167","2.563","15.0","15.0","16.2","21.6","12.6","15.0","4.2",".",".",".",".",".",".","0.6",".","."
"Topics in Precalculus","Course Total","288","2.479","13.2","12.2","19.8","16.0","20.1","12.2","6.3",".",".",".",".",".",".","0.3",".","."
"","210
001","99","2.657","13.1","1.0","41.4","5.1","33.3","6.1",".",".",".",".",".",".",".",".",".","."
"","210
002","284","2.741","19.4","10.9","25.7","14.1","19.7","6.7","3.5",".",".",".",".",".",".",".",".","."
"","210
003","191","3.076","24.6","23.6","28.8","3.1","11.5","7.9",".",".",".",".",".",".",".",".",".","0.5"
"Topics-Finite Mathematics","Course Total","574","2.838","20.0","13.4","29.4","8.9","19.3","7.0","1.7",".",".",".",".",".",".",".",".","0.2"
"","001
211","178","2.258","12.4","6.7","14.0","7.9","37.1","16.9","5.1",".",".",".",".",".",".",".",".","."
"","211
002","160","2.594","19.4","5.6","27.5","15.6","15.6","9.4","6.9",".",".",".",".",".",".",".",".","."
"Calculus","Course Total","338","2.417","15.7","6.2","20.4","11.5","26.9","13.3","5.9",".",".",".",".",".",".",".",".","."
"","213
001","52","2.923","23.1","7.7","34.6","7.7","25.0",".","1.9",".",".",".",".",".",".",".",".","."
