"BOTANY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123","001","93","3.016","31.2","14.0","25.8","8.6","8.6","5.4","4.3","1.1",".",".",".",".",".","1.1",".","."
"General Botany","130","001","215","2.762","19.5","3.3","39.1","7.0","22.3","6.0","2.3",".",".",".",".",".",".",".",".","0.5"
"","151","001","21","2.725",".","14.3","52.4",".","23.8","4.8",".",".",".",".",".",".",".",".","4.8","."
"","151","002","23","2.609","8.7","4.3","47.8","13.0","13.0","8.7","4.3",".",".",".",".",".",".",".",".","."
"Introductory Biology","","Course Total","44","2.663","4.5","9.1","50.0","6.8","18.2","6.8","2.3",".",".",".",".",".",".",".","2.3","."
"Introductory Biology","152","001","17","2.735","5.9","11.8","47.1","5.9","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"Heredity","160","001","15","2.300",".","6.7","33.3","13.3","26.7","20.0",".",".",".",".",".",".",".",".",".","."
"Plants and Man","240","001","96","2.897","16.7","9.4","46.9","5.2","14.6","4.2","2.1","1.0",".",".",".",".",".",".",".","."
"Introductory Ecology","260","001","85","2.753","15.3","14.1","23.5","14.1","28.2","2.4","2.4",".",".",".",".",".",".",".",".","."
"Plant Anatomy","300","001","23","3.022","30.4","13.0","21.7","8.7","21.7","4.3",".",".",".",".",".",".",".",".",".","."
"Fungi","332","001","23","3.065","17.4","30.4","26.1","17.4","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Plant Systematics","400","001","67","3.276","34.3","20.9","31.3","4.5","3.0","6.0",".",".",".",".",".",".",".",".",".","."
"","402","001","15","3.433","46.7","20.0","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","402","002","7","3.357","57.1","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".",".",".","."
"Dendrology","","Course Total","22","3.409","50.0","18.2","13.6","9.1","4.5","4.5",".",".",".",".",".",".",".",".",".","."
"Field Collectns&Identifictn","410","031","3","***","","","","","","","","","",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","29","3.222","24.1","24.1","31.0","10.3",".",".","3.4","6.9",".",".",".",".",".",".",".","."
"General Ecology","460","001","17","3.265","29.4","17.6","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"General Genetics","466","001","12","2.750","16.7","16.7","25.0",".","33.3","8.3",".",".",".",".",".",".",".",".",".","."
"Mineral Nutrition of Plants","626","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Senior Thesis","692","031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.977","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Regul Mechanisms-Plant Dev","840","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","858","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","858","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Spec Topics-Plant Physiol","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Morphology","910","001","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Plant Taxonomy Journ Review","941","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Plant Ecology","950","001","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Plant Physiology","960","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloq-Teachng College Biol","969","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Earth System Sci Seminar","980","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Phycology","990","028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 164 of 373",""
