"","CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","",""
"School Services-Com Dis","392","001","","33","3.939","97.0",".",".",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"The Teaching of Mathematics","394","001","","21","3.857","81.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of English","396","001","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Tchg Child Lit-Elem & Middl","422","001","","70","3.821","85.7","4.3","5.7","2.9",".",".","1.4",".",".",".",".",".",".",".",".","."
"Concrn&Constrnt-Tch Yng Chl","425","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Stdt Tchg-Health Education","457","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Tch-His&Soc St Mid Sch","458","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg Hist&Soc St in HS","459","001","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Seminar:K-Mid Schl Teaching","463","001","","50","3.940","94.0",".","6.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","464","001","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464","002","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","464","003","","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg in Elem School","","Course Total","","58","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","465","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","465","002","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Tchg-Kindergarten","","Course Total","","21","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","466","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","466","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Elem","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","467","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","467","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching-Music:Secndry","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Practicum in Teaching Art","470","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teaching Engl-Mid Schl","472","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stdt Teach-Science in H.S.","490","001","","19","",".",".",".",".",".",".",".",".",".","94.7",".",".",".",".",".","5.3"
"Student Teaching-Com Dis","492","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Student Teaching in HS Math","494","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teach Sci-MiddleSchl","495","001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-English in HS","496","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","498","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","498","002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Stdt Teaching-Middle School","","Course Total","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Developmtl Rdg-Elem Schl","500","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","78","3.782","69.2","25.6","3.8",".",".",".","1.3",".",".",".",".",".",".",".",".","."
"Developmental Rdg-Sec Schl","503","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Remedial Reading","504","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategy-Inclusive Schoolng","506","001","","63","3.992","98.4","1.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","","Page 88 of 373"
