"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101","001","118","3.162","5.9","39.8","38.1","14.4",".",".","0.8","0.8",".",".",".",".",".",".",".","."
"","102","001","125","3.407","26.4","39.2","23.2","8.8",".","0.8",".","1.6",".",".",".",".",".",".",".","."
"","102","002","113","3.236","19.5","32.7","27.4","10.6","2.7","2.7",".","1.8",".",".",".",".",".","0.9",".","1.8"
"Amer Hist-Civil War-Present","","Course Total","238","3.327","23.1","36.1","25.2","9.7","1.3","1.7",".","1.7",".",".",".",".",".","0.4",".","0.8"
"Invasions&Empires:Cent Asia","106","001","34","3.455","26.5","41.2","23.5","5.9",".",".",".",".",".",".",".",".",".","2.9",".","."
"Medieval Europe 410-1500","115","001","115","3.126","14.8","27.0","32.2","20.9","2.6","1.7",".","0.9",".",".",".",".",".",".",".","."
"Modern Europe 1500-1815","119","001","59","2.953","13.6","20.3","30.5","22.0","8.5","1.7","1.7","1.7",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120","001","75","3.206","20.0","29.3","26.7","17.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"English History to 1688","123","001","62","3.063","16.1","22.6","30.6","16.1","11.3","1.6",".","1.6",".",".",".",".",".",".",".","."
"Middle East-20th Century","139","001","54","3.251","31.5","24.1","18.5","7.4","13.0","1.9",".","1.9",".",".",".",".",".","1.9",".","."
"","199","006","14","3.643","57.1","14.3","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","15","3.706","60.0","13.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","200","002","10","2.900","20.0","20.0","40.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"","201","001","32","3.274","31.3","12.5","37.5","9.4","6.3",".",".","3.1",".",".",".",".",".",".",".","."
"","201","002","44","3.198","20.5","27.3","36.4","6.8","2.3","4.5",".","2.3",".",".",".",".",".",".",".","."
"Special Topics-Amer History","","Course Total","76","3.230","25.0","21.1","36.8","7.9","3.9","2.6",".","2.6",".",".",".",".",".",".",".","."
"Islam Wrld:MidEast,500-1500","205","001","50","3.566","40.0","32.0","16.0","4.0",".",".",".","4.0",".",".",".",".",".","4.0",".","."
"Colonial Latin America","241","001","43","3.476","27.9","41.9","23.3","4.7",".",".",".",".",".",".",".",".",".",".","2.3","."
"SE Asia:Vietnam to Philipns","244","001","54","3.259","18.5","35.2","33.3","9.3","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"American Business History","247","001","118","3.064","10.2","29.7","35.6","16.9","5.1",".","1.7","0.8",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","54","3.148","24.1","24.1","29.6","9.3","9.3","3.7",".",".",".",".",".",".",".",".",".","."
"Honors Smr-Studies in Hist","283","001","19","3.658","52.6","26.3","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latin Paleography","316","001","6","3.737","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sociol&Intel Hist 400-1200","317","001","38","2.912","26.3","15.8","18.4","13.2","21.1","2.6","2.6",".",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","117","3.360","26.5","42.7","18.8","6.0","3.4",".","1.7",".",".",".",".",".",".",".",".","0.9"
"Sci Revol:Copernicus-Newton","323","001","12","2.864","16.7","16.7","16.7","8.3","33.3",".",".","8.3",".",".",".",".",".",".",".","."
"Amer Constutnl & Legal Dev","331","001","116","3.173","18.1","28.4","32.8","12.1","6.9",".","0.9","0.9",".",".",".",".",".",".",".","."
"Islam Reform&Rev-Cntrl Asia","332","001","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"The Renaissance","333","001","45","3.327","26.7","31.1","20.0","15.6","4.4",".",".","2.2",".",".",".",".",".",".",".","."
"The Protestant Reformation","334","001","55","3.201","29.1","16.4","32.7","5.5","5.5","1.8","1.8","7.3",".",".",".",".",".",".",".","."
"Hist-Modern China 1911-1949","338","001","30","3.278","33.3","23.3","16.7","10.0","6.7",".","3.3",".",".",".",".",".",".","6.7",".","."
"Colonial British North Amer","343","001","19","3.026","15.8","21.1","21.1","36.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"France from 1799-1914","348","001","41","2.888","19.5","19.5","24.4","12.2","9.8","4.9","4.9","4.9",".",".",".",".",".",".",".","."
"Women-Amer Society: 1870 on","354","001","17","3.500","23.5","52.9","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Europe Betwn Wars,1919-1939","356","001","47","2.971","12.8","25.5","31.9","14.9","12.8",".","2.1",".",".",".",".",".",".",".",".","."
"The Second World War","357","001","297","3.726","70.4","14.8","7.1","1.3","1.3",".","1.7","3.4",".",".",".",".",".",".",".","."
"The Anglo-Saxons","360","001","6","3.667","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rev&Natlism-Ireland,1780-On","365","001","126","3.046","14.3","29.4","26.2","14.3","9.5","1.6","1.6","3.2",".",".",".",".",".",".",".","."
"United States, 1877-1914","395","001","57","2.805","10.5","19.3","33.3","14.0","7.0","5.3","5.3",".",".",".",".",".",".","3.5","1.8","."
"The US Since 1945","398","001","102","3.181","14.7","32.4","36.3","8.8","2.9",".","2.0","2.9",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 217 of 373",""
