"","999
076","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","999
098","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","999
104","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Indep Study & Research","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".",".",".","."
"COMP SCI
266","Dept. Total","3296","3.073","26.5","15.7","19.9","10.3","9.6","2.4","2.9","1.6","0.1","10.1","0.5","0.0","",".","0.4","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","326","2.718","15.3","9.5","15.3","9.8","10.1","5.2","4.9",".",".","27.3","1.5",".","",".","0.9",".","."
"Sophomore","","970","3.041","19.9","16.4","25.7","10.3","9.0","1.5","3.1",".",".","13.1","0.7",".","",".","0.3",".","."
"Junior","","637","2.879","15.9","16.0","22.1","14.9","12.2","3.5","3.1","0.5","0.3","11.0","0.3",".","",".","0.2",".","."
"Senior","","642","2.889","18.1","17.0","20.9","13.1","14.6","3.1","3.7","2.8",".","5.8","0.5",".","",".","0.5",".","."
"Undergraduates","","2575","2.930","17.9","15.6","22.3","12.1","11.3","2.9","3.5","0.8","0.1","12.5","0.7",".","",".","0.4",".","."
"Special","","82","3.062","29.3","14.6","17.1","12.2","6.1","2.4","4.9","1.2",".","9.8",".",".","",".","1.2","1.2","."
"Graduate","","639","3.674","60.7","16.4","10.6","3.0","2.8","0.5","0.2","4.7","0.2","0.3",".","0.2","",".","0.3",".","0.2"
"","Dept. Total","3296","3.073","26.5","15.7","19.9","10.3","9.6","2.4","2.9","1.6","0.1","10.1","0.5","0.0","",".","0.4","0.0","0.0"
