"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"PHM","","","","","","","","","","","","","","","","","","","",""
"PHM","College Total","1752","3.251","38.2","17.2","19.3","11.4","9.7","1.0","0.1","0.4","0.1","2.2",".","0.4","",".",".","0.1","."
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"PHM","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","359","3.070","24.8","20.3","18.7","19.2","13.6","0.8",".",".",".","2.5",".",".","",".",".",".","."
"Sophomore","","555","3.017","30.5","14.1","24.1","15.0","13.5","1.8","0.2",".",".","0.9",".",".","",".",".",".","."
"Junior","","362","3.487","43.9","27.1","18.8","5.2","4.4","0.6",".",".",".",".",".",".","",".",".",".","."
"Senior","","202","3.216","38.6","12.9","23.3","11.4","12.9","1.0",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","1478","3.181","33.5","18.6","21.4","13.1","11.2","1.2","0.1",".",".","0.9",".",".","",".",".",".","."
"Special","","23","3.448","39.1","26.1","13.0","8.7","4.3",".",".","4.3",".",".",".",".","",".",".","4.3","."
"Graduate","","145","3.800","73.1","9.7","5.5",".","1.4",".",".","4.1","0.7",".",".","4.8","",".",".","0.7","."
"Prof Yr 1","","47","3.511","40.4","8.5","23.4","6.4",".",".",".",".",".","21.3",".",".","",".",".",".","."
"Prof Yr 2","","52","3.886","67.3","5.8","1.9",".","1.9",".",".",".",".","23.1",".",".","",".",".",".","."
"Prof Yr 3","","3","4.000","66.7",".",".",".",".",".",".",".",".","33.3",".",".","",".",".",".","."
"Prof Yr 4","","4","4.000","75.0",".",".",".",".",".",".",".",".","25.0",".",".","",".",".",".","."
"Professionals","","106","3.771","55.7","6.6","11.3","2.8","0.9",".",".",".",".","22.6",".",".","",".",".",".","."
"","College Total","1752","3.251","38.2","17.2","19.3","11.4","9.7","1.0","0.1","0.4","0.1","2.2",".","0.4","",".",".","0.1","."
