"","990
048","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
049","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","990
050","","1","***","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Research and Thesis","Course Total","","28","4.000","85.7",".","",".",".",".","",".","",".","14.3","",".",".","",".","",".","",".",".",".","."
"NEUROSCI
682","Dept. Total","","67","3.847","47.8","7.5","",".","1.5","1.5","",".","",".","41.8","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","1","3.500",".","100.0","",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","2","3.000",".","50.0","",".","50.0",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","5","3.400","40.0","40.0","",".",".","20.0","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","8","3.313","25.0","50.0","",".","12.5","12.5","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0","",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","","52","4.000","50.0",".","",".",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","2","4.000","50.0",".","",".",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","4","4.000","75.0",".","",".",".",".","",".","",".","25.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","","6","4.000","66.7",".","",".",".",".","",".","",".","33.3","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","67","3.847","47.8","7.5","",".","1.5","1.5","",".","",".","41.8","",".",".","",".","",".","",".",".",".","."
