"NUTRITIONAL SCIENCES","","","","","","","","","","","","","","","","","","","","",""
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","",""
"","991
060","3","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","991
062","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research Nutrition","Course Total","46","3.961","63.0","6.5","2.2",".",".",".",".","6.5","",".",".",".","21.7","",".",".",".","."
"","993
007","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","993
036","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Independent Study-Nutrition","Course Total","2","***","","","","","","","","","","","","","","","","","",""
"NUTR SCI
694","Dept. Total","704","2.939","23.4","11.1","15.1","10.5","18.0","4.1","0.7","3.1","",".","11.6","0.1","1.4","",".","0.3",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","151","2.697","16.6","7.3","18.5","12.6","26.5","4.0","2.0","0.7","",".","11.3",".",".","",".","0.7",".","."
"Sophomore","","184","2.763","16.8","13.0","13.0","12.0","26.6","4.9","0.5",".","",".","12.5",".",".","",".",".",".","0.5"
"Junior","","92","2.948","26.1","13.0","10.9","8.7","17.4","7.6",".",".","",".","15.2",".",".","",".",".",".","1.1"
"Senior","","146","2.922","22.6","11.0","18.5","12.3","15.1","4.8","0.7",".","",".","15.1",".",".","",".",".",".","."
"Undergraduates","","573","2.816","19.7","11.0","15.5","11.7","22.2","5.1","0.9","0.2","",".","13.3",".",".","",".","0.2",".","0.3"
"Special","","26","2.881","3.8","11.5","26.9","23.1",".",".",".","7.7","",".","19.2","3.8",".","",".","3.8",".","."
"Graduate","","104","3.837","49.0","10.6","9.6","1.0",".",".",".","18.3","",".","1.0",".","9.6","",".",".",".","1.0"
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".",".",".","",".",".",".","."
"","Dept. Total","704","2.939","23.4","11.1","15.1","10.5","18.0","4.1","0.7","3.1","",".","11.6","0.1","1.4","",".","0.3",".","0.4"
