"","JOURN AND MASS COMMUNICA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"512
JOURN","","","","","","","","","","","","","","","","","","","",""
"","201","001","345","2.971","19.4","16.8","33.0","12.2","11.6","6.1","0.3","0.6",".",".",".",".",".",".",".","."
"","201","002","106","3.316","17.0","37.7","37.7","6.6","0.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Mass Communication","","Course Total","451","3.052","18.8","21.7","34.1","10.9","9.1","4.7","0.2","0.4",".",".",".",".",".",".",".","."
"Reporting","204","001","6","3.250","33.3","33.3",".","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","205","001","12","2.750","8.3","16.7","33.3","16.7","16.7","8.3",".",".",".",".",".",".",".",".",".","."
"","205","002","15","3.200","20.0","20.0","46.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","205","003","12","3.792","75.0","16.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","205","004","14","3.115","21.4","28.6","28.6","7.1",".",".","7.1","7.1",".",".",".",".",".",".",".","."
"","205","005","14","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Newswriting and Reporting","","Course Total","67","3.258","31.3","22.4","26.9","10.4","4.5","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"","230","001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","230","002","11","3.000","18.2","27.3","27.3","9.1",".",".","9.1","9.1",".",".",".",".",".",".",".","."
"","230","005","9","3.500","44.4","11.1","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Newspaper Editing","","Course Total","30","3.328","30.0","26.7","33.3","3.3",".",".","3.3","3.3",".",".",".",".",".",".",".","."
"Principles of Advertising","246","001","166","2.855","17.5","20.5","21.1","21.7","9.6","5.4","3.6","0.6",".",".",".",".",".",".",".","."
"Effects-Mass Communication","265","001","282","2.730","18.4","10.3","26.6","14.5","19.9","7.4","2.8",".",".",".",".",".",".",".",".","."
"Reporting of Public Affairs","301","001","7","3.143",".","57.1","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Interpatn Contemp Affairs","304","001","11","3.545","54.5","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Writing of Feature Articles","305","001","15","2.800","13.3","6.7","40.0","6.7","33.3",".",".",".",".",".",".",".",".",".",".","."
"Science & Technology Journ","315","001","15","3.400","33.3","26.7","26.7","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Practices","325","001","65","3.369","29.2","30.8","29.2","6.2","4.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Broadcast News","351","001","33","3.364","24.2","36.4","30.3","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"Television News","352","001","19","3.395","26.3","42.1","15.8","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Media and the Consumer","446","001","122","3.012","14.8","27.9","23.8","13.9","17.2","1.6",".","0.8",".",".",".",".",".",".",".","."
"Advertising Copy and Layout","450","001","60","3.208","18.3","18.3","51.7","10.0","1.7",".",".",".",".",".",".",".",".",".",".","."
"Adv Advertising Copy&Layout","451","001","14","3.500","14.3","71.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Promotional Campaigns","454","001","22","3.614","45.5","36.4","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Advertising Media Planning","459","001","52","3.167","9.6","42.3","34.6","5.8",".","5.8",".",".",".",".",".",".",".","1.9",".","."
"Publicity Media and Methods","515","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Magazines&Magazine Editing","517","001","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Relations Campaigns","525","001","42","3.190","21.4","11.9","52.4","11.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"Law of Mass Communication","559","001","91","2.308","7.7","9.9","19.8","20.9","19.8","14.3","7.7",".",".",".",".",".",".",".",".","."
"Hist of Mass Communication","560","001","58","2.991","5.2","20.7","48.3","19.0","6.9",".",".",".",".",".",".",".",".",".",".","."
"","561","001","23","3.409","34.8","17.4","34.8","8.7",".",".",".",".",".",".",".",".",".","4.3",".","."
"","561","002","24","3.521","37.5","37.5","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Mass Communication&Society","","Course Total","47","3.467","36.2","27.7","25.5","8.5",".",".",".",".",".",".",".",".",".","2.1",".","."
"","575","043","12","3.458","41.7","25.0","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","575","049","49","3.378","26.5","36.7","28.6","6.1",".","2.0",".",".",".",".",".",".",".",".",".","."
"Topics-Mass Communication","","Course Total","61","3.393","29.5","34.4","26.2","8.2",".","1.6",".",".",".",".",".",".",".",".",".","."
"Communicatn&Public Opinion","614","001","56","2.946","17.9","12.5","41.1","12.5","10.7","3.6","1.8",".",".",".",".",".",".",".",".","."
"Hlth Communication-Info Age","617","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intl Com&Foreign Press","620","001","47","2.761","10.6","17.0","19.1","29.8","14.9","6.4",".","2.1",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 231 of 373",""
