"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","313","3.019","15.0","20.8","39.6","11.2","9.9","1.6","1.6","0.3",".",".",".",".",".",".",".","."
"Voice Training","140
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
150","19","3.868","78.9","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
003","19","3.737","73.7","10.5","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"","004
150","16","3.688","81.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","150
005","19","3.447","52.6","26.3","10.5",".","5.3",".","5.3",".",".",".",".",".",".",".",".","."
"","150
006","20","3.400","55.0","15.0","10.0","5.0","10.0","5.0",".",".",".",".",".",".",".",".",".","."
"","150
007","20","3.650","70.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","150
008","17","3.676","70.6","17.6","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","149","3.651","67.8","16.8","8.1","0.7","4.0","1.3","1.3",".",".",".",".",".",".",".",".","."
"","161
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","33","3.955","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","18","2.949","27.8","22.2","22.2","16.7",".",".","11.1",".",".",".",".",".",".",".",".","."
"Writing-Theatre&Performance","200
001","17","3.324","23.5","23.5","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"History of Theatre","231
001","53","3.019","26.4","32.1","17.0","5.7","7.5","3.8","7.5",".",".",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","17","3.735","58.8","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Problems in Acting","250
001","16","3.719","50.0","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to Asian Performance","001
326","14","3.406","42.9","14.3","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Drama-A Strindberg","336
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mask and Movement","340
001","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","12","3.700","58.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","362
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
003","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
362","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Drama in Ed:Pre-Middle Schl","Course Total","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin&Practice-Stage Costume","001
363","14","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","27","3.326","33.3","29.6","25.9","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Stage Direction I","368
001","18","3.639","50.0","33.3","11.1","5.6",".",".",".",".",".",".",".",".",".",".",".","."
