"","999
091","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","999
101","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","999
112","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".","",".",".","."
"Advanced Independent Work","Course Total","46","4.000","39.1",".",".",".",".",".",".","47.8","2.2",".",".","8.7","",".",".",".","2.2"
"MUSIC
660","Dept. Total","3107","3.624","71.3","9.3","9.6","2.9","2.5","0.4","0.2","2.9","0.1","0.4","0.0","0.1","",".","0.2","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","584","3.600","76.9","7.7","8.9","1.5","2.7","0.9","0.3",".",".","0.7",".",".","",".","0.3",".","."
"Sophomore","","774","3.625","75.6","7.9","10.5","3.2","1.8",".","0.1","0.3",".","0.4",".",".","",".","0.3",".","."
"Junior","","676","3.574","69.4","10.7","10.5","3.3","3.7","0.6","0.3","0.9",".","0.4","0.1",".","",".","0.1",".","."
"Senior","","711","3.590","66.9","12.1","11.1","4.2","3.0","0.1","0.1","1.8","0.1","0.1",".",".","",".",".","0.3","."
"Undergraduates","","2745","3.598","72.1","9.6","10.3","3.1","2.8","0.4","0.2","0.8","0.0","0.4","0.0",".","",".","0.2","0.1","."
"Special","","89","3.682","40.4","5.6","3.4","1.1",".","1.1",".","44.9",".","2.2",".",".","",".",".",".","1.1"
"Graduate","","290","3.837","68.6","7.2","3.8","1.0","0.3",".",".","14.8","1.0",".",".","1.4","",".","0.3","0.3","1.0"
"","Dept. Total","3124","3.624","70.9","9.3","9.5","2.9","2.5","0.4","0.2","3.3","0.1","0.4","0.0","0.1","",".","0.2","0.1","0.1"
