"WILDLIFE ECOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"960
WL ECOL","","","","","","","","","","","","","","","","","","","",""
"299","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"318
Principles-Wildlife Ecology","001","","196","2.943","28.1","9.7","27.6","5.6","23.5","1.5","3.1",".",".",".",".",".",".","0.5",".","0.5"
"360
Extinction of Species","001","","81","2.975","18.5","18.5","30.9","13.6","16.0",".","2.5",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"401
Physiologicl Animal Ecology","001","","37","2.653","10.8","13.5","16.2","21.6","32.4",".","2.7",".",".",".",".",".",".",".","2.7","."
"548
Diseases of Wildlife","001","","63","2.897","7.9","12.7","46.0","23.8","6.3","3.2",".",".",".",".",".",".",".",".",".","."
"561
Wildlife Management Tech","001","","36","2.958","22.2","13.9","27.8","16.7","13.9","5.6",".",".",".",".",".",".",".",".",".","."
"606
Colloquium in Env Tox","001","","9","3.250","11.1","33.3","33.3","11.1",".",".",".","11.1",".",".",".",".",".",".",".","."
"699
Special Problems","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract-Wildlife Ecol Teachng","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","17","3.969","88.2","5.9",".",".",".",".",".",".",".",".",".",".",".","5.9",".","."
"875","002","","10","3.889","80.0",".","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Special Topics","Course Total","","27","3.932","85.2","3.7","3.7",".",".",".",".",".",".",".",".",".",".","7.4",".","."
"961
Seminar","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","29","4.000","86.2",".",".",".",".",".",".","3.4",".",".",".","10.3",".",".",".","."
