"LIBRARY & INFORMATION STUD Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","","","",""
"Info Agencies & Their Envir","450","001","","88","3.787","60.2","36.4","1.1","1.1",".",".",".",".",".",".",".",".",".",".",".","1.1"
"Organization of Information","551","001","","40","3.692","45.0","47.5","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".","2.5"
"Information Use and Users","561","001","","55","3.845","69.1","30.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Sources","571","001","","38","3.368","13.2","57.9","18.4","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Music Resrch Mthds & Matls","619","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620","002","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","","Course Total","","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childrens Literature","622","001","","31","3.883","77.4","16.1","3.2",".",".",".",".",".",".",".",".",".",".",".",".","3.2"
"Intellectual Freedom&Libr","645","001","","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cataloging & Classification","651","001","","36","3.653","47.2","44.4","2.8","2.8","2.8",".",".",".",".",".",".",".",".",".",".","."
"Hist-American Librarianship","672","001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Res Methods-Libr&Info Study","710","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Modern Archives Adm","734","001","","25","3.750","48.0","48.0",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"Bibliog Data and Info Proc","750","001","","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lib Serv-Chldrn&Young Adult","772","001","","18","3.583","38.9","38.9","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Indexing","817","001","","19","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","825","001","","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"On-Line Reference&Info Serv","828","001","","18","3.722","50.0","44.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lib&Info User Services","940","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Probs-Archives: Manuscripts","976","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","14","3.897","64.3",".","7.1",".",".",".",".","21.4",".",".",".","7.1",".",".",".","."
"","999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","019","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading & Rsch","","Course Total","","19","3.740","73.7","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".",".","5.3"
