"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Rhythmic/Step Aerobics","Course Total","129","3.413","23.3","29.5","15.5","5.4","1.6",".","0.8","23.3","0.8",".",".",".",".",".",".","."
"","134
001","22","3.667","31.8","27.3","9.1",".",".",".",".","31.8",".",".",".",".",".",".",".","."
"","134
002","10","3.500","10.0","60.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","134
003","14","3.500",".","71.4",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"","004
134","14","3.125","14.3","28.6","7.1",".",".",".","7.1","42.9",".",".",".",".",".",".",".","."
"","134
005","25","3.591","32.0","44.0","8.0","4.0",".",".",".","12.0",".",".",".",".",".",".",".","."
"","134
006","20","3.808","50.0","5.0","10.0",".",".",".",".","35.0",".",".",".",".",".",".",".","."
"","134
007","19","3.611","42.1","31.6","21.1",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","134
008","15","3.571","26.7","53.3","13.3",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"","134
009","21","3.444","28.6","28.6","23.8",".","4.8",".",".","14.3",".",".",".",".",".",".",".","."
"Relaxation Tech & Exercise","Course Total","160","3.560","28.8","36.3","11.9","0.6","0.6",".","0.6","21.3",".",".",".",".",".",".",".","."
"","138
001","17","2.818","5.9","17.6","23.5","5.9","5.9",".","5.9","35.3",".",".",".",".",".",".",".","."
"","002
138","15","3.400","13.3","26.7","26.7",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"","138
003","14","3.333","7.1","42.9","35.7",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","138
004","14","3.654","35.7","50.0","7.1",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"","138
005","12","3.125","16.7","41.7","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","138
006","17","3.227","5.9","17.6","41.2",".",".",".",".","35.3",".",".",".",".",".",".",".","."
"Golf I","Course Total","89","3.268","13.5","31.5","28.1","1.1","1.1",".","2.2","22.5",".",".",".",".",".",".",".","."
"Mvmnt Fund-Vocl&Musicl Perf","139
001","14","3.500","35.7","28.6","35.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","140
001","22","3.464","18.2","27.3","13.6","4.5",".",".",".","36.4",".",".",".",".",".",".",".","."
"","140
002","16","3.500","25.0","31.3","6.3",".","6.3",".",".","31.3",".",".",".",".",".",".",".","."
"","003
140","17","3.462","35.3","11.8","17.6","11.8",".",".",".","23.5",".",".",".",".",".",".",".","."
"Ice Skating I","Course Total","55","3.474","25.5","23.6","12.7","5.5","1.8",".",".","30.9",".",".",".",".",".",".",".","."
"Ice Skating II","145
002","15","3.462","26.7","40.0","13.3",".","6.7",".",".","13.3",".",".",".",".",".",".",".","."
"","155
001","22","3.190","22.7","18.2","36.4","9.1","9.1",".",".",".",".",".",".",".",".","4.5",".","."
"","155
002","12","3.500","25.0","33.3","25.0",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"Badminton I","Course Total","34","3.290","23.5","23.5","32.4","5.9","5.9",".",".",".",".",".",".",".",".","8.8",".","."
"","157
001","17","3.367","23.5","29.4","23.5","11.8",".",".",".","11.8",".",".",".",".",".",".",".","."
"","157
002","21","3.775","57.1","33.3","4.8",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"","157
003","26","3.068","15.4","26.9","34.6",".",".",".","7.7","15.4",".",".",".",".",".",".",".","."
"","157
004","24","3.521","41.7","25.0","29.2","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Fencing I","Course Total","88","3.432","34.1","28.4","23.9","3.4",".",".","2.3","8.0",".",".",".",".",".",".",".","."
"","162
001","18","3.864","50.0","5.6","5.6",".",".",".",".","38.9",".",".",".",".",".",".",".","."
"","002
162","14","3.636","64.3",".","7.1",".",".","7.1",".","21.4",".",".",".",".",".",".",".","."
"","162
003","20","3.875","45.0","15.0",".",".",".",".",".","35.0",".",".",".",".",".","5.0",".","."
"","162
004","20","3.500","25.0","35.0","15.0","5.0",".",".",".","20.0",".",".",".",".",".",".",".","."
"Tennis I","Course Total","72","3.700","44.4","15.3","6.9","1.4",".","1.4",".","29.2",".",".",".",".",".","1.4",".","."
"","163
001","12","3.667","41.7","16.7","16.7",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","163
002","14","3.455","28.6","21.4","21.4","7.1",".",".",".","21.4",".",".",".",".",".",".",".","."
"","163
003","20","3.786","45.0","20.0","5.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","163
004","16","3.650","37.5","18.8",".",".","6.3",".",".","31.3",".",".",".",".",".","6.3",".","."
"Racquetball I","Course Total","62","3.648","38.7","19.4","9.7","1.6","1.6",".",".","27.4",".",".",".",".",".","1.6",".","."
"Basketball I","170
001","17","3.464","23.5","29.4","29.4",".",".",".",".","17.6",".",".",".",".",".",".",".","."
"Soccer I","173
001","20","3.559","45.0","25.0",".","10.0","5.0",".",".","15.0",".",".",".",".",".",".",".","."
