"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","",""
"","101
001","14","3.250","21.4","14.3","57.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","16","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","16","3.438","37.5","12.5","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
101","23","2.955","34.8","17.4","17.4",".","13.0","4.3","8.7","4.3",".",".",".",".",".",".",".","."
"","101
006","21","3.310","28.6","14.3","52.4",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","101
007","20","3.375","55.0","5.0","20.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","101
008","20","3.750","80.0","10.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","101
009","16","3.750","62.5","12.5","6.3","6.3",".",".",".","12.5",".",".",".",".",".",".",".","."
"First Semester German","Course Total","146","3.413","47.9","12.3","26.7","4.1","3.4","2.1","1.4","2.1",".",".",".",".",".",".",".","."
"","001
102","9","3.000","22.2","11.1","33.3","11.1","22.2",".",".",".",".",".",".",".",".",".",".","."
"","102
002","21","3.225","23.8","9.5","52.4","4.8","4.8",".",".","4.8",".",".",".",".",".",".",".","."
"","102
003","23","3.087","17.4","34.8","21.7","17.4","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"","004
102","19","2.947","26.3","10.5","26.3","21.1","10.5",".","5.3",".",".",".",".",".",".",".",".","."
"","102
005","11","2.682",".","9.1","54.5","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"Second Semester German","Course Total","83","3.024","19.3","16.9","36.1","14.5","8.4","1.2","2.4","1.2",".",".",".",".",".",".",".","."
"","111
001","20","3.184","25.0","35.0","20.0",".","10.0",".","5.0",".",".",".",".",".",".",".","5.0","."
"","002
111","15","3.321","33.3","26.7","13.3","6.7","13.3",".",".","6.7",".",".",".",".",".",".",".","."
"First Semester Dutch","Course Total","35","3.242","28.6","31.4","17.1","2.9","11.4",".","2.9","2.9",".",".",".",".",".",".","2.9","."
"Intensive German I","171
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
001","12","3.583","41.7","50.0",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","203
002","20","3.000","15.0","20.0","25.0","20.0","15.0",".",".","5.0",".",".",".",".",".",".",".","."
"","203
003","22","3.143","22.7","22.7","27.3","13.6","4.5","4.5",".","4.5",".",".",".",".",".",".",".","."
"","004
203","19","3.639","63.2","10.5","10.5","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"","005
203","21","3.595","61.9","14.3","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","203
006","22","3.568","50.0","18.2","27.3","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","007
203","19","3.444","26.3","31.6","36.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","203
008","14","3.115","35.7","7.1","21.4","14.3","7.1","7.1",".","7.1",".",".",".",".",".",".",".","."
"Third Semester German","Course Total","149","3.389","39.6","20.8","22.1","7.4","4.7","2.0",".","3.4",".",".",".",".",".",".",".","."
"","204
001","24","3.313","37.5","16.7","25.0","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"","204
002","24","2.848","16.7","8.3","37.5","12.5","16.7",".","4.2","4.2",".",".",".",".",".",".",".","."
"","204
003","23","3.386","34.8","21.7","26.1","8.7","4.3",".",".",".",".",".",".",".",".","4.3",".","."
"","004
204","23","3.630","60.9","17.4","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester German","Course Total","94","3.293","37.2","16.0","25.5","9.6","8.5",".","1.1","1.1",".",".",".",".",".","1.1",".","."
"Third Semester Dutch","213
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Readings-German Literature","221
001","16","3.500","31.3","43.8","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to German Literature","222
001","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","225
001","22","3.250","13.6","31.8","50.0",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","225
002","25","3.280","16.0","28.0","52.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","225
003","22","3.591","59.1","18.2","13.6",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","225
004","20","3.325","25.0","20.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn I","Course Total","89","3.360","28.1","24.7","41.6","2.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"","226
001","12","2.917","16.7","25.0","25.0","25.0",".",".","8.3",".",".",".",".",".",".",".",".","."
"","226
002","16","3.563","50.0","25.0","18.8",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"Composition & Conversatn II","Course Total","28","3.286","35.7","25.0","21.4","10.7","3.6",".","3.6",".",".",".",".",".",".",".",".","."
