"","990
035","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research or Thesis","Course Total","15","3.893","60.0",".","6.7",".",".",".",".","20.0","",".",".","",".","13.3","",".",".",".","."
"Rsch in Physical Activity","991
001","4","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Reading","999
037","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"KINES
742","Dept. Total","736","3.395","35.6","28.5","26.0","5.7","1.8","1.4","0.1","0.7","",".",".","",".","0.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","29","3.100","17.2","17.2","44.8","17.2","3.4",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","47","3.329","34.0","34.0","19.1","6.4","2.1","4.3",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","197","3.416","35.5","32.0","23.9","5.6","2.0","0.5",".","0.5","",".",".","",".",".","",".",".",".","."
"Senior","","400","3.369","32.8","29.8","28.3","5.5","1.5","1.8","0.3","0.3","",".",".","",".",".","",".",".",".","."
"Undergraduates","","673","3.371","33.0","30.2","27.0","6.1","1.8","1.5","0.1","0.3","",".",".","",".",".","",".",".",".","."
"Special","","14","3.333","28.6","28.6","35.7",".","7.1",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","49","3.815","73.5","6.1","8.2","2.0",".",".",".","6.1","",".",".","",".","4.1","",".",".",".","."
"","Dept. Total","736","3.395","35.6","28.5","26.0","5.7","1.8","1.4","0.1","0.7","",".",".","",".","0.3","",".",".",".","."
