"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","","","","","","","",""
"","999
051","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","999
067","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","","","","","","","",""
"IND REL
492","Dept. Total","110","3.559","53.6","18.2","19.1","4.5","1.8","",".","",".","1.8","",".",".","",".","",".","",".",".",".","0.9"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"492
IND REL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","7","2.958","14.3","14.3","42.9","14.3","14.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","8","3.022","25.0","12.5","12.5","25.0","12.5","",".","",".","12.5","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","15","2.989","20.0","13.3","26.7","20.0","13.3","",".","",".","6.7","",".",".","",".","",".","",".",".",".","."
"Special","","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","90","3.654","58.9","17.8","18.9","2.2",".","",".","",".","1.1","",".",".","",".","",".","",".",".",".","1.1"
"Prof Yr 3","","4","3.875","75.0","25.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","4","3.875","75.0","25.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","110","3.559","53.6","18.2","19.1","4.5","1.8","",".","",".","1.8","",".",".","",".","",".","",".",".",".","0.9"
