"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","189","2.807","17.5","17.5","18.5","13.8","27.5","4.8","0.5",".",".",".",".",".",".",".",".","."
"132","002","","207","2.690","21.7","8.2","15.5","14.5","30.4","7.2","1.4",".",".",".",".",".",".","0.5",".","0.5"
"Nutrition Today","Course Total","","396","2.746","19.7","12.6","16.9","14.1","29.0","6.1","1.0",".",".",".",".",".",".","0.3",".","0.3"
"200
Prof-Dietetics&Foodserv Adm","001","","72","",".",".",".",".",".",".",".","1.4",".","97.2","1.4",".",".",".",".","."
"299
Independent Study","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"332
Human Nutritional Needs","001","","50","3.073","30.0","14.0","20.0","12.0","16.0","4.0",".","2.0",".",".",".",".",".",".",".","2.0"
"399
Coord Intrnshp/Cooprtv Educ","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Adv Nutr:Physiol of Nutr","001","","16","3.438","31.3","37.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"617
Adv Nutr:Carbo;Min;Hum Nutr","001","","16","3.125","18.8",".","68.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","48","2.947","22.9","14.6","27.1","16.7","8.3","6.3","2.1","2.1",".",".",".",".",".",".",".","."
"634
Clinical Nutri(Affiliation)","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"691
Senior Thesis-Nutrition","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","7","3.909","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".","14.3",".","14.3"
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Nutri Sciences Tchg","Course Total","","2","***","","","","","","","","","","","","","","","",""
"875
Special Topics","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","18","3.750","5.6","5.6",".",".",".",".",".","88.9",".",".",".",".",".",".",".","."
"991","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","6","3.167",".","16.7","16.7",".",".",".",".","16.7",".",".",".","50.0",".",".",".","."
"991","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","033","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"991","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"991","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 34 of 373"
