"","990
009","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
040","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
054","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","",""
"E M A
346","Dept. Total","567","2.730","21.2","15.0","21.9","10.2","16.8","7.6","5.8","0.9","",".",".","",".","0.7","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","13","1.962","15.4","15.4","7.7","7.7","7.7","23.1","23.1",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","204","2.654","19.1","14.2","24.5","11.3","14.7","8.8","7.4",".","",".",".","",".",".","",".",".",".","."
"Junior","","149","2.636","16.1","16.1","18.8","13.4","24.2","5.4","6.0",".","",".",".","",".",".","",".",".",".","."
"Senior","","141","2.695","21.3","13.5","21.3","9.9","19.9","9.2","4.3","0.7","",".",".","",".",".","",".",".",".","."
"Undergraduates","","507","2.642","18.7","14.6","21.5","11.4","18.7","8.3","6.5","0.2","",".",".","",".",".","",".",".",".","."
"Special","","2","3.250",".","50.0","50.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","58","3.574","43.1","17.2","24.1",".",".","1.7",".","6.9","",".",".","",".","6.9","",".",".",".","."
"","Dept. Total","567","2.730","21.2","15.0","21.9","10.2","16.8","7.6","5.8","0.9","",".",".","",".","0.7","",".",".",".","."
