"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"MEDIEVAL STUDIES","","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"633
MEDIEVAL","","","","","","","","","","","","","","","","","","","",""
"Latin Paleography","316","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sociol&Intel Hist 400-1200","317","001","13","3.381","38.5","30.8","15.4",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"Old English","320","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","6","3.063","16.7",".","50.0","16.7",".",".",".",".",".",".",".",".",".",".","16.7","."
"The Anglo-Saxons","360","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mediaeval Latin","563","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"MEDIEVAL
633","","Dept. Total","34","3.350","38.2","17.6","20.6","8.8","8.8",".",".","2.9",".",".",".",".",".",".","2.9","."
