"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"Honors Proseminar","Course Total","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"400
Topics in Biology","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"430
Compar Anatomy-Vertebrates","001","","129","2.942","19.4","16.3","27.1","12.4","22.5","2.3",".",".",".",".",".",".",".",".",".","."
"431","001","","17","2.824","11.8","5.9","35.3","29.4","17.6",".",".",".",".",".",".",".",".",".",".","."
"431","002","","23","3.522","47.8","30.4","13.0","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"431","003","","23","3.391","34.8","21.7","34.8","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"431","004","","28","3.143","17.9","25.0","32.1","17.9","7.1",".",".",".",".",".",".",".",".",".",".","."
"431","005","","26","3.385","38.5","23.1","19.2","15.4","3.8",".",".",".",".",".",".",".",".",".",".","."
"Comparative Anatomy Lab","Course Total","","117","3.274","30.8","22.2","26.5","13.7","6.0","0.9",".",".",".",".",".",".",".",".",".","."
"460
General Ecology","001","","63","3.373","36.5","19.0","38.1","1.6","3.2",".","1.6",".",".",".",".",".",".",".",".","."
"466
General Genetics","001","","97","2.271","17.5","4.1","18.6","12.4","22.7","8.2","15.5",".",".",".",".",".",".","1.0",".","."
"504
Biophysical Ecology","001","","6","3.904","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"509
Neurobiology","001","","72","3.250","23.6","33.3","22.2","11.1","9.7",".",".",".",".",".",".",".",".",".",".","."
"531
Ethology Laboratory","001","","20","3.325","25.0","30.0","35.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"550
Animal Comm & Orig of Lang","001","","19","3.250","21.1","26.3","31.6","10.5","5.3",".",".",".",".",".",".",".",".","5.3",".","."
"570
Cell Biology","001","","198","3.013","26.3","21.2","28.8","1.5","11.1","8.1","2.5","0.5",".",".",".",".",".",".",".","."
"619
Biology of Mind","001","","41","3.363","24.4","39.0","24.4","2.4","7.3",".",".",".",".",".",".",".",".",".","2.4","."
"681","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","016","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","5","***","","","","","","","","","","","","","","","",""
"691","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","8","3.944","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"698","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","13","3.960","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 307 of 373",""
