"MECHANICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"612
M E","","","","","","","","","","","","","","","","","","","",""
"512
Inspectn,Qual Cntrl&Relblty","001","","13","3.600","23.1","46.2","7.7",".",".",".",".","7.7",".",".",".",".",".",".","15.4","."
"513
Analysis-Capital Investment","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"535
Comp-Aided Geometric Design","001","","17","3.441","47.1","35.3","5.9","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"549
Product Design","001","","21","3.475","38.1","33.3","14.3",".","9.5",".",".",".",".",".",".",".",".","4.8",".","."
"561
Intermediate Thermodynamics","001","","23","3.283","21.7","21.7","47.8","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"567
Solar Energy Technology","001","","10","3.722","50.0","30.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"569
Applied Combustion","001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
Intermediate Gas Dynamics","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
Computational Fluid Dynamcs","001","","20","3.700","70.0","5.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"601","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics-Mech Engr","Course Total","","12","3.773","50.0","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"602
Envrnmtl Aspects-Mech Engr","001","","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"603
Topics-Bio-Medical Engr","001","","24","4.000","95.8",".",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","3.813","71.4",".","14.3",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"718
Modlng&Simlatn-Polymer Proc","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"746","001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"746","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Dynamics-Controlled Systems","Course Total","","16","3.733","50.0","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"748
Design-Mech Elements & Sys","001","","26","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"753
Friction, Lubrication &Wear","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"758
Solid Modeling","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"764
Heat Transfer I-Conduction","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"773
Boundary Layer Theory","002","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"780
Robot Motion Planning","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","013","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"790","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","021","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".","16.7",".",".",".","."
"790","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 132 of 373",""
