"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","",""
"","222
001","21","3.048","23.8","19.0","28.6","19.0","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","002
222","24","2.979","41.7","12.5","16.7","8.3","4.2","8.3","8.3",".",".",".",".",".",".",".",".","."
"","003
222","24","3.208","29.2","20.8","33.3","4.2","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"Elem Survey Hispan Lit-1700","Course Total","69","3.080","31.9","17.4","26.1","10.1","5.8","4.3","4.3",".",".",".",".",".",".",".",".","."
"","225
001","22","3.595","54.5","13.6","18.2","9.1",".",".",".","4.5",".",".",".",".",".",".",".","."
"","225
002","19","3.342","36.8","10.5","42.1","5.3","5.3",".",".",".",".",".",".",".",".",".",".","."
"","225
003","20","3.425","20.0","60.0","10.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","225
004","24","3.104","16.7","37.5","37.5",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","005
225","22","3.238","27.3","22.7","22.7","13.6","9.1",".",".","4.5",".",".",".",".",".",".",".","."
"","225
006","21","3.476","38.1","19.0","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","007
225","22","3.273","18.2","31.8","36.4","13.6",".",".",".",".",".",".",".",".",".",".",".","."
"","225
008","21","3.000","4.8","23.8","61.9","4.8",".",".","4.8",".",".",".",".",".",".",".",".","."
"","225
009","21","3.452","23.8","47.6","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","225
010","24","3.292","25.0","33.3","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","225
013","23","3.109","8.7","34.8","34.8","13.0","8.7",".",".",".",".",".",".",".",".",".",".","."
"","225
014","22","3.000","9.1","27.3","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"3rd Yr Lang Prac&Gram Rev","Course Total","261","3.270","23.4","30.3","32.6","7.3","4.6",".","1.1","0.8",".",".",".",".",".",".",".","."
"","226
001","19","3.632","52.6","21.1","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
002","20","3.050","15.0","35.0","20.0","25.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","226
003","22","3.318","22.7","36.4","27.3","9.1","4.5",".",".",".",".",".",".",".",".",".",".","."
"","226
004","23","3.587","56.5","8.7","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
226","21","3.810","76.2","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
006","20","3.525","30.0","45.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","226
007","18","2.972","5.6","33.3","33.3","5.6","22.2",".",".",".",".",".",".",".",".",".",".","."
"","008
226","23","3.565","65.2","8.7","21.7",".",".",".","4.3",".",".",".",".",".",".",".",".","."
"3rd Yr Lang-Written Exprssn","Course Total","166","3.443","41.6","24.1","24.7","5.4","3.0",".","1.2",".",".",".",".",".",".",".",".","."
"Chicano Lit in Spanish","240
001","17","3.118","17.6","29.4","41.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".","."
"Hispan Womens Writing(Tran)","247
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","311
001","14","3.321","35.7","21.4","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"","311
002","20","3.175","25.0","25.0","40.0",".","5.0",".","5.0",".",".",".",".",".",".",".",".","."
"","311
003","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
004","16","3.188","18.8","18.8","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","005
311","18","3.500","22.2","55.6","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Yr Language Practice","Course Total","88","3.386","30.7","33.0","28.4","3.4","3.4",".","1.1",".",".",".",".",".",".",".",".","."
"Topics in Span Lang Pract","319
001","12","3.125","16.7","16.7","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","320
001","26","3.135","15.4","23.1","42.3","11.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"","320
002","25","3.040","20.0","32.0","12.0","16.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"Spanish Phonetics","Course Total","51","3.088","17.6","27.5","27.5","13.7","11.8","2.0",".",".",".",".",".",".",".",".",".","."
"Adv Lang Prac-Expos Writing","323
002","11","3.722","36.4","45.5",".",".",".",".",".","9.1",".",".",".",".",".",".","9.1","."
"Spanish Phonology","340
001","21","3.548","47.6","23.8","19.0","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"College Teaching of Spanish","351
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spanish Civilization","361
001","29","3.384","37.9","6.9","48.3","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"Advanced Survey-Spanish Lit","411
001","17","4.000","88.2",".",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Survey of Medieval Lit","421
001","18","3.694","61.1","16.7","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 295 of 373",""
