"LAFOLLETTE SCHOOL PUB AFF Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","",""
"Ethics&Values-Policy Making","530
001","17","3.034","35.3","35.3","5.9","11.8",".",".","11.8",".",".",".",".",".",".",".",".","."
"Quantitative Anal-Pol Data","551
001","33","3.818","78.8","9.1","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Regional Econ Prob Analysis","734
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"Administrative Internship","827
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Policy Evaluation","871
001","10","3.500","30.0","30.0","30.0",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"Public Personnel Adm","875
001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Public Administration","001
878","35","3.643","42.9","48.6","2.9","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"Public Econ & Public Policy","880
001","33","3.439","33.3","30.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","974
002","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
974","12","3.850","58.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"","005
974","12","3.727","58.3","16.7","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Smr-Politics&Public Policy","Course Total","31","3.786","58.1","25.8","6.5",".",".",".",".","3.2",".",".",".",".",".",".",".","6.5"
"PUB AFFR
826","Dept. Total","185","3.616","51.9","28.6","10.3","4.3",".",".","1.1","2.2",".",".",".",".",".",".","0.5","1.1"
