"L&S","","","","","","","","","","","","","","","","","","","",""
"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","",""
"150
Amer Indians in Higher Educ","001","","22","3.818","86.4","4.5",".","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"355
Archaeol of Eastern N Amer","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"450
Issues-in Amer Ind Studies","001","","33","3.406","66.7",".","15.2",".","6.1","6.1","3.0","3.0",".",".",".",".",".",".",".","."
"578
Rur Minority Grp&Povrty-U S","001","","6","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","3.824","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
