"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"992","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","021","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"992","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","025","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"992","040","","6","4.000","16.7",".",".",".",".",".",".","83.3",".",".",".",".",".",".",".","."
"992","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"992","046","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"992","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research-Physical","Course Total","","51","3.884","70.6","2.0","2.0","2.0",".",".",".","19.6",".",".",".","3.9",".",".",".","."
"993","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"993","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"993","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"993","029","","7","4.000","71.4",".",".",".",".",".",".",".",".",".",".","28.6",".",".",".","."
"993","039","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"993","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"993","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"993","049","","8","4.000","62.5",".",".",".",".",".",".","12.5",".",".",".","25.0",".",".",".","."
"Research-Analytical","Course Total","","38","3.985","73.7",".","2.6",".",".",".",".","7.9",".",".",".","15.8",".",".",".","."
"994","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"994","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"994","011","","14","3.926","57.1","7.1",".",".",".",".",".","28.6",".",".",".","7.1",".",".",".","."
"994","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"994","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","035","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"994","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"994","045","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Research-Inorganic","Course Total","","42","3.968","59.5","2.4",".",".",".",".",".","31.0",".",".",".","4.8",".",".","2.4","."
"995","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"995","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"995","042","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"Rsch-Macromolecular Chem","Course Total","","10","4.000","80.0",".",".",".",".",".",".",".",".",".",".","20.0",".",".",".","."
