"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","101
002","17","1.813","11.8",".",".","11.8","41.2","11.8","17.6",".",".",".",".",".",".","5.9",".","."
"","101
003","17","2.147",".",".","35.3","17.6","17.6","29.4",".",".",".",".",".",".",".",".",".","."
"","101
004","21","2.119","9.5","4.8","23.8","9.5","19.0","23.8","9.5",".",".",".",".",".",".",".",".","."
"","101
005","18","2.639","16.7","11.1","16.7","5.6","44.4","5.6",".",".",".",".",".",".",".",".",".","."
"","101
006","17","2.344",".","11.8","23.5","5.9","47.1",".","5.9",".",".",".",".",".",".","5.9",".","."
"","007
101","19","2.000",".","5.3","15.8","26.3","31.6","5.3","15.8",".",".",".",".",".",".",".",".","."
"","101
008","20","2.150","5.0","5.0","20.0","15.0","35.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","101
009","17","2.647","5.9","11.8","41.2",".","35.3","5.9",".",".",".",".",".",".",".",".",".","."
"","101
010","18","2.167","5.6","5.6","11.1","16.7","44.4","11.1","5.6",".",".",".",".",".",".",".",".","."
"","101
011","20","2.447","20.0",".","20.0","5.0","35.0","10.0","5.0",".",".",".",".",".",".","5.0",".","."
"","012
101","15","2.100","6.7",".","20.0","6.7","46.7","13.3","6.7",".",".",".",".",".",".",".",".","."
"","101
013","17","2.029",".","11.8","17.6","5.9","35.3","23.5","5.9",".",".",".",".",".",".",".",".","."
"","101
014","20","1.900",".","10.0","10.0","20.0","30.0","15.0","15.0",".",".",".",".",".",".",".",".","."
"","101
015","14","1.750",".",".","14.3","21.4","21.4","35.7","7.1",".",".",".",".",".",".",".",".","."
"Intermediate Algebra","Course Total","250","2.166","6.0","5.6","19.2","12.0","34.4","14.0","7.6",".",".",".",".",".",".","1.2",".","."
"","112
001","19","1.974","15.8",".","5.3","5.3","42.1","21.1","10.5",".",".",".",".",".",".",".",".","."
"","112
002","21","2.190","9.5","4.8","19.0","4.8","38.1","19.0","4.8",".",".",".",".",".",".",".",".","."
"","112
003","20","2.275","15.0","10.0","5.0","15.0","35.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","112
004","31","2.210","16.1","9.7","12.9",".","29.0","25.8","6.5",".",".",".",".",".",".",".",".","."
"","112
005","27","2.389","11.1","3.7","25.9",".","48.1","7.4","3.7",".",".",".",".",".",".",".",".","."
"","112
007","23","2.304","13.0","4.3","17.4","13.0","34.8","8.7","8.7",".",".",".",".",".",".",".",".","."
"","008
112","24","2.104","8.3","8.3","16.7","4.2","37.5","12.5","12.5",".",".",".",".",".",".",".",".","."
"","009
112","26","2.173","11.5",".","11.5","3.8","53.8","19.2",".",".",".",".",".",".",".",".",".","."
"","010
112","30","2.217","13.3","6.7","16.7","16.7","20.0","13.3","13.3",".",".",".",".",".",".",".",".","."
"","112
012","18","1.944",".","16.7","5.6","16.7","33.3","11.1","16.7",".",".",".",".",".",".",".",".","."
"","112
013","25","2.480","24.0",".","28.0",".","28.0","12.0","8.0",".",".",".",".",".",".",".",".","."
"","112
014","20","2.425","20.0",".","15.0","15.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".","."
"","112
015","22","2.023",".","9.1","13.6","13.6","36.4","22.7","4.5",".",".",".",".",".",".",".",".","."
"","112
016","25","2.920","20.0","4.0","40.0","12.0","24.0",".",".",".",".",".",".",".",".",".",".","."
"","017
112","21","2.476","14.3","4.8","23.8","14.3","28.6","9.5","4.8",".",".",".",".",".",".",".",".","."
"","112
018","20","2.325","20.0",".","10.0","5.0","45.0","20.0",".",".",".",".",".",".",".",".",".","."
"","019
112","23","1.957","4.3","4.3","21.7","4.3","34.8","17.4","13.0",".",".",".",".",".",".",".",".","."
"","020
112","41","2.622","12.2","17.1","17.1","19.5","24.4","4.9","4.9",".",".",".",".",".",".",".",".","."
"","112
022","23","2.239",".","4.3","30.4","17.4","30.4","13.0","4.3",".",".",".",".",".",".",".",".","."
"","112
024","28","2.429","10.7",".","28.6","7.1","46.4","3.6","3.6",".",".",".",".",".",".",".",".","."
"","112
025","25","2.440","12.0","12.0","16.0","4.0","44.0","8.0","4.0",".",".",".",".",".",".",".",".","."
"","112
026","27","2.241","7.4","14.8","14.8","11.1","33.3","3.7","14.8",".",".",".",".",".",".",".",".","."
"","112
027","20","2.025","5.0","5.0","15.0","10.0","40.0","15.0","10.0",".",".",".",".",".",".",".",".","."
"","028
112","19","2.105","5.3","10.5","15.8","10.5","36.8","5.3","15.8",".",".",".",".",".",".",".",".","."
"","112
029","21","1.786","9.5",".",".","23.8","28.6","23.8","14.3",".",".",".",".",".",".",".",".","."
"","112
030","19","2.237","15.8",".","21.1","5.3","31.6","21.1","5.3",".",".",".",".",".",".",".",".","."
"","112
031","22","2.159","4.5","9.1","9.1","13.6","45.5","13.6","4.5",".",".",".",".",".",".",".",".","."
"","112
032","25","2.400","4.0","8.0","36.0","8.0","28.0","12.0","4.0",".",".",".",".",".",".",".",".","."
"","112
033","21","2.286","9.5","9.5","14.3",".","52.4","9.5","4.8",".",".",".",".",".",".",".",".","."
"","034
112","26","2.077","7.7","7.7","11.5","7.7","38.5","19.2","7.7",".",".",".",".",".",".",".",".","."
"","036
112","30","2.150","6.7","10.0","16.7","6.7","36.7","13.3","10.0",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 239 of 373",""
