"","999
092","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
094","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
095","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".","",".",".","."
"Independent Reading","Course Total","33","3.974","81.8","6.1",".",".",".",".",".","6.1","",".",".","",".","3.0","",".",".",".","3.0"
"CURRIC
272","Dept. Total","2293","3.896","69.3","8.2","3.0","0.2","0.2","0.1","0.1","1.4","",".","16.7","",".","0.4","",".",".",".","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","21","3.833","81.0","14.3",".",".","4.8",".",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","235","3.883","75.3","10.2","3.8",".",".",".","0.4",".","",".","10.2","",".",".","",".",".",".","."
"Senior","","1270","3.884","62.8","7.9","3.2","0.3","0.2","0.1","0.1","0.1","",".","25.3","",".",".","",".",".",".","."
"Undergraduates","","1526","3.883","65.0","8.3","3.3","0.3","0.3","0.1","0.1","0.1","",".","22.6","",".",".","",".",".",".","."
"Special","","176","3.856","62.5","11.4","2.3",".",".","1.1",".","1.1","",".","20.5","",".",".","",".",".",".","1.1"
"Graduate","","591","3.934","82.4","7.1","2.4",".",".",".",".","5.1","",".","0.5","",".","1.7","",".",".",".","0.8"
"","Dept. Total","2293","3.896","69.3","8.2","3.0","0.2","0.2","0.1","0.1","1.4","",".","16.7","",".","0.4","",".",".",".","0.3"
