"AFRICAN LANGUAGES & LITERA Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","",""
"The African Storyteller","210","001","383","3.029","27.2","17.2","23.5","11.5","13.1","3.9","2.1","1.6",".",".",".",".",".",".",".","."
"The African Autobiography","211","001","121","3.335","24.8","37.2","27.3","8.3","0.8",".","1.7",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","28","3.054","28.6","14.3","25.0","17.9","10.7",".","3.6",".",".",".",".",".",".",".",".","."
"African Lit in Translation","300","001","13","3.192","30.8","30.8","15.4","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"Orientatn-Lang Self Instruc","302","001","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Monitord Intro-African Lang","303","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"2nd Sem-Lang of East Africa","312","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Language in African History","320","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Arabic","321","001","31","3.215","41.9","19.4","6.5","9.7","9.7","3.2","3.2","6.5",".",".",".",".",".",".",".","."
"Third Semester Arabic","323","001","9","3.333","55.6","11.1","11.1","11.1",".","11.1",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","331","001","24","2.851","29.2","8.3","33.3","4.2","8.3","4.2","8.3","4.2",".",".",".",".",".",".",".","."
"Third Semester Swahili","333","001","16","3.188","31.3","18.8","12.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Hausa","363","001","12","3.083","33.3","16.7","16.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370","001","8","3.188","12.5","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Yoruba","371","001","11","3.387","45.5","45.5",".",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Directed Study-African Lang","399","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411","001","14","2.702","14.3","28.6","7.1",".","42.9",".","7.1",".",".",".",".",".",".",".",".","."
"Adv Studies-Swahili Lang-Gr","435","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Written Lit of South Africa","441","001","19","3.746","68.4","21.1","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Yoruba","475","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","669","001","13","3.958","84.6","7.7",".",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Directed Study","699","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Mod Afr Lit","901","001","14","3.714","64.3","14.3","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-African Linguistics","903","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis","","Course Total","11","4.000","54.5",".",".",".",".",".",".","45.5",".",".",".",".",".",".",".","."
"","999","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","013","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Reading & Research","","Course Total","5","***","","","","","","","","","","","","","","","",""
