"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"501
Maj Brit Novelists-1914-45","001","","33","3.606","48.5","27.3","21.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"506
Modern British & Amer Drama","001","","37","3.108","13.5","37.8","24.3","10.8","10.8","2.7",".",".",".",".",".",".",".",".",".","."
"507
Mod British Lit Since 1914","001","","26","2.788","11.5","30.8","19.2","19.2","7.7","3.8","7.7",".",".",".",".",".",".",".",".","."
"511
Recent British/Amer Fiction","001","","37","2.824","8.1","13.5","29.7","32.4","16.2",".",".",".",".",".",".",".",".",".",".","."
"512
Recent British/Amer Poetry","001","","18","3.250","27.8","38.9","11.1",".","22.2",".",".",".",".",".",".",".",".",".",".","."
"513
Mod British or Am Lit-Bkgrd","001","","20","3.150","25.0","35.0","15.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"574
Topic-Women Writng&Fem Thry","001","","36","3.300","22.2","33.3","33.3","2.8","2.8","2.8",".",".",".",".",".",".",".",".",".","2.8"
"609
Major American Novelists","001","","37","3.286","16.2","27.0","45.9","5.4",".",".",".","2.7",".",".",".",".",".","2.7",".","."
"613
Major American Poets","001","","36","3.250","30.6","11.1","41.7","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
"625
Outstndg Figures-19c Am Lit","001","","30","3.125","20.0","30.0","20.0","13.3","6.7",".","3.3","6.7",".",".",".",".",".",".",".","."
"626
Theme in 19th C Amer Lit","001","","29","3.345","13.8","44.8","37.9","3.4",".",".",".",".",".",".",".",".",".",".",".","."
"629
American Literary Realism","001","","16","2.875","18.8","25.0","25.0","12.5","6.3","6.3","6.3",".",".",".",".",".",".",".",".","."
"672","001","","21","3.571","57.1","14.3","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"672","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","Course Total","","23","3.522","52.2","13.0","26.1","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"681","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","Course Total","","5","***","","","","","","","","","","","","","","","",""
"682","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","Course Total","","5","***","","","","","","","","","","","","","","","",""
"691","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"692","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"692","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","4","***","","","","","","","","","","","","","","","",""
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
