"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"Advanced Sculpture II","Course Total","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622
001","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
622","13","3.808","76.9","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Painting II","Course Total","25","3.760","72.0","8.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics II","624
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing II","632
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal II","644
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Figure Painting II","652
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
003","10","3.652","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","7","3.842","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
007","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","008
699","6","3.813","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","21","3.944","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
013","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
018","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","8","3.643","25.0","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
032","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
045","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
046","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
050","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
056","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
058","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
067","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
201","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","122","3.813","78.7","13.9","4.1",".","0.8","0.8","0.8",".",".",".",".",".",".",".",".","0.8"
"","722
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","722
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Painting I","Course Total","4","***","","","","","","","","","","","","","","","",""
"Grad Intaglio Printmaking I","726
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Graphics Workshop I","736
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Painting II","822
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Graphics Workshop II","836
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","908
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","908
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","908
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Art","Course Total","49","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","912
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 76 of 373"
