"ED LEADERSHP & POLICY ANAL Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Emplymnt/El&Sec Schl Pupils","313","001","","30","3.817","76.7","10.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Ed Admin","502","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","","Course Total","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","9.1"
"Admin-Teachng&Learng Org I","702","001","","23","3.935","87.0","13.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","703","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","703","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Admin-Teachng&Learng Org II","","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Govern&Admin-Coll&Universty","715","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","15","3.821","73.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Adm-Pupil Serv El/Scndry Ed","735","001","","18","3.722","88.9",".","5.6",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Supervision of Instruction","740","001","","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gov&Admin-Ed for Work Prgms","750","001","","10","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","20","3.875","80.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Adm of School Systems","820","001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","9","3.688","55.6","11.1","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Legal Aspects of Higher Ed","841","001","","14","3.885","71.4","21.4",".",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","860","001","","26","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","860","002","","34","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","","Course Total","","60","3.867","76.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870","001","","9","3.875","66.7","22.2",".",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"","870","002","","13","3.769","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","","Course Total","","22","3.810","72.7","9.1","13.6",".",".",".",".",".",".",".",".",".",".","4.5",".","."
"Theory&Practice-Ed Planning","875","001","","17","3.853","88.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Appl Rsch in Ed Admin","890","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","024","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship in Ed Admin","","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr in Educational Admin","","Course Total","","8","3.813","87.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
