"PSYCHOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"699","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","201","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","202","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","15","3.895","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Prosmr-Experimental Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"703
Prosmr in Social Psychology","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"704
Proseminar-Clinical Psych","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Prosmr-Developmental Psych","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"707
Proseminar-Biological Psych","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"711","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"711","002","","9","3.538","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Current Topics in Psych","Course Total","","13","3.608","76.9","15.4",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"720
Speech Perception & Reading","001","","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Psychology of Women","001","","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"734
Perceptual Systems II","001","","11","3.182","27.3","27.3","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"735
Lang, Memory & Cognition I","001","","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"740
Clin I: Assmnt, Etiol&Trtmt","001","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"741
Clin II:Assmnt, Etiol&Trtmt","001","","11","3.636","45.5","36.4","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"776
Teaching of Psychology","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"805
Field Work-Clinical Psych","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Princ-Psychotherapy Rsch","001","","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930
Seminar-Social Psychology","001","","12","3.500","33.3","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","8.3"
"950
Interdis Smr-Animal Behav","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"978
Smr in Visual Perception","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","6","3.921","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 275 of 373",""
