"BUS","","","","","","","","","","","","","","","","","","",""
"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","",""
"The Real Estate Process","306
001","131","3.234","23.7","27.5","26.0","15.3","4.6",".","0.8","1.5",".",".",".",".",".",".",".","0.8"
"Real Estate Law","312
001","26","3.635","46.2","38.5","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","410
001","29","3.207","34.5","17.2","31.0","3.4","10.3",".","3.4",".",".",".",".",".",".",".",".","."
"Urban & Regional Economics","420
001","32","3.484","34.4","43.8","9.4","9.4","3.1",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Asset Mgmnt","425
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniq-Real Estate Analys","621
001","23","3.500","26.1","39.1","26.1",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"The Real Estate Process","703
001","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710
001","24","3.688","62.5","29.2",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","712
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715
001","23","3.435","17.4","52.2","30.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","001
720","17","3.618","41.2","41.2","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Asset Managemnt","725
001","11","3.800","54.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750
001","27","3.796","63.0","33.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Urban Land Econ PhD","978
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
083","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
116","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","Course Total","4","***","","","","","","","","","","","","","","","",""
"Readng&Rsch-Real Estate PhD","999
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"REAL EST
239","Dept. Total","366","3.458","37.7","31.4","18.3","6.8","3.3",".","0.5","1.6",".",".",".",".",".",".",".","0.3"
