"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"I SY E","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","30","3.090","33.3","23.3","26.7",".","13.3","3.3",".",".","",".",".","",".",".","",".",".",".","."
"Junior","","132","3.228","28.8","26.5","25.0","9.8","7.6","0.8","1.5",".","",".",".","",".",".","",".",".",".","."
"Senior","","295","3.342","36.6","19.7","28.5","10.2","3.1","1.4","0.3","0.3","",".",".","",".",".","",".",".",".","."
"Undergraduates","","464","3.299","35.1","21.6","26.9","9.3","5.0","1.3","0.6","0.2","",".",".","",".",".","",".",".",".","."
"Special","","20","3.553","45.0","30.0","10.0","5.0","5.0",".",".","5.0","",".",".","",".",".","",".",".",".","."
"Graduate","","356","3.810","71.6","12.1","6.7","1.7","0.6","0.3",".","6.5","",".",".","",".","0.6","",".",".",".","."
"","Dept. Total","840","3.517","50.8","17.7","18.0","6.0","3.1","0.8","0.4","3.0","",".",".","",".","0.2","",".",".",".","."
