"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","193","2.479","9.3","13.5","16.1","12.4","33.2","11.4","1.6","2.6",".",".",".",".",".",".",".","."
"","102
001","14","3.400","21.4","35.7",".","7.1","7.1",".",".","28.6",".",".",".",".",".",".",".","."
"","002
102","18","3.536","33.3","16.7","27.8",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","32","3.479","28.1","25.0","15.6","3.1","3.1",".",".","25.0",".",".",".",".",".",".",".","."
"","111
001","19","3.550","26.3","5.3","21.1",".",".",".",".","47.4",".",".",".",".",".",".",".","."
"","002
111","18","3.567","33.3","27.8","22.2",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","003
111","16","3.250","56.3",".","12.5","6.3",".","6.3","6.3","12.5",".",".",".",".",".",".",".","."
"Self-defense&Assault Prevnt","Course Total","53","3.449","37.7","11.3","18.9","1.9",".","1.9","1.9","26.4",".",".",".",".",".",".",".","."
"Adapted Sport and Fitness","125
001","50","4.000","16.0",".",".",".",".",".",".","66.0",".",".",".",".",".",".","18.0","."
"","127
001","18","3.389","5.6","27.8","16.7",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","127
002","19","3.250",".","47.4","15.8","10.5",".",".",".","26.3",".",".",".",".",".",".",".","."
"","003
127","14","3.278","14.3","21.4","14.3","14.3",".",".",".","35.7",".",".",".",".",".",".",".","."
"","004
127","22","3.094","18.2","4.5","27.3","18.2","4.5",".",".","27.3",".",".",".",".",".",".",".","."
"","127
005","23","3.433","8.7","39.1","17.4",".",".",".",".","34.8",".",".",".",".",".",".",".","."
"","127
006","16","3.233","18.8","43.8","25.0",".",".",".","6.3","6.3",".",".",".",".",".",".",".","."
"Bowling I","Course Total","112","3.269","10.7","30.4","19.6","7.1","0.9",".","0.9","30.4",".",".",".",".",".",".",".","."
"","129
001","22","4.000","86.4",".",".",".",".",".",".","13.6",".",".",".",".",".",".",".","."
"","129
002","27","3.957","81.5",".","3.7",".",".",".",".","14.8",".",".",".",".",".",".",".","."
"Intro to Yoga Practice","Course Total","49","3.976","83.7",".","2.0",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","001
130","14","3.167","14.3","35.7","7.1",".",".",".","7.1","35.7",".",".",".",".",".",".",".","."
"","130
002","9","3.500","11.1","55.6","11.1",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"Running (Aerobic Fitness)","Course Total","23","3.313","13.0","43.5","8.7",".",".",".","4.3","30.4",".",".",".",".",".",".",".","."
"","002
131","18","3.423","22.2","22.2","22.2","5.6",".",".",".","27.8",".",".",".",".",".",".",".","."
"","131
003","10","2.833",".","40.0","20.0","10.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".","."
"","131
004","17","2.808","23.5","11.8","17.6","5.9",".","11.8","5.9","23.5",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","45","3.043","17.8","22.2","20.0","6.7","2.2","6.7","2.2","22.2",".",".",".",".",".",".",".","."
"","132
001","20","2.909","10.0","30.0","5.0",".",".",".","10.0","45.0",".",".",".",".",".",".",".","."
"","132
002","21","3.100","4.8","28.6","9.5",".",".",".","4.8","52.4",".",".",".",".",".",".",".","."
"","132
003","18","3.031",".","27.8","44.4","11.1","5.6",".",".","11.1",".",".",".",".",".",".",".","."
"","132
004","22","3.344","13.6","22.7","36.4",".",".",".",".","27.3",".",".",".",".",".",".",".","."
"","132
005","17","3.250",".","47.1","29.4","5.9",".",".",".","11.8",".",".",".",".",".","5.9",".","."
"","132
006","18","3.462","27.8","16.7","22.2","5.6",".",".",".","27.8",".",".",".",".",".",".",".","."
"","132
007","14","3.625","28.6","21.4",".","7.1",".",".",".","35.7",".",".",".",".",".","7.1",".","."
"","132
008","15","3.000","26.7","26.7","6.7","13.3",".","6.7","6.7","13.3",".",".",".",".",".",".",".","."
"","132
009","10","3.389",".","70.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","132
010","19","3.308",".","42.1","26.3",".",".",".",".","31.6",".",".",".",".",".",".",".","."
"Weight Training","Course Total","174","3.228","10.9","31.6","20.7","4.0","0.6","0.6","2.3","28.2",".",".",".",".",".","1.1",".","."
"","133
001","18","3.375","16.7","38.9","27.8","5.6",".",".",".","11.1",".",".",".",".",".",".",".","."
"","133
002","23","3.222","21.7","34.8","4.3","8.7","4.3",".","4.3","17.4","4.3",".",".",".",".",".",".","."
"","003
133","19","3.417","5.3","47.4","5.3","5.3",".",".",".","36.8",".",".",".",".",".",".",".","."
"","133
004","10","3.444","50.0","10.0","10.0","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".","."
"","133
005","21","3.625","38.1","23.8","9.5","4.8",".",".",".","23.8",".",".",".",".",".",".",".","."
"","133
006","16","3.423","18.8","31.3","31.3",".",".",".",".","18.8",".",".",".",".",".",".",".","."
"","133
007","22","3.429","22.7","13.6","22.7","4.5",".",".",".","36.4",".",".",".",".",".",".",".","."
