"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"AFROAMER","","","","","","","","","","","","","","","","","","","","","",""
"","","1","",".",".",".",".",".",".",".",".","",".",".","",".",".","",".","100.0",".","."
"Freshmen","","65","2.854","21.5","27.7","13.8","4.6","20.0","6.2","4.6",".","",".",".","",".",".","",".","1.5",".","."
"Sophomore","","275","3.113","20.7","22.9","30.5","13.8","9.8","1.8","0.4",".","",".",".","",".",".","",".",".",".","."
"Junior","","249","3.084","22.5","22.9","28.5","15.3","5.6","2.0","2.8","0.4","",".",".","",".",".","",".",".",".","."
"Senior","","206","3.226","24.8","31.1","22.8","6.8","7.8","1.0","1.5","3.9","",".",".","",".",".","",".",".",".","0.5"
"Undergraduates","","795","3.110","22.4","25.4","26.5","11.7","8.8","2.0","1.8","1.1","",".",".","",".",".","",".","0.1",".","0.1"
"Special","","7","3.583","42.9","28.6",".","14.3",".",".",".",".","",".",".","",".",".","",".",".","14.3","."
"Graduate","","59","3.859","67.8","15.3","5.1",".",".",".",".","5.1","",".",".","",".","3.4","",".",".",".","3.4"
"","Dept. Total","862","3.157","25.6","24.7","24.8","10.9","8.1","1.9","1.6","1.4","",".",".","",".","0.2","",".","0.2","0.1","0.3"
