"","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","7","3.700","42.9",".","14.3",".",".",".",".","28.6",".",".",".","14.3",".",".",".","."
"990","020","","8","4.000","62.5",".",".",".",".",".",".","12.5",".",".",".","25.0",".",".",".","."
"990","025","","10","4.000","70.0",".",".",".",".",".",".","20.0",".",".",".","10.0",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","8","4.000","75.0",".",".",".",".",".",".","12.5",".",".",".","12.5",".",".",".","."
"990","030","","9","4.000","77.8",".",".",".",".",".",".",".",".",".",".","22.2",".",".",".","."
"990","031","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","034","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Course Total","","73","3.979","60.3",".","1.4",".",".",".",".","21.9","1.4",".",".","15.1",".",".",".","."
