"","990
018","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
020","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
024","2","***","","","","","","","","","","","",".",".",".",".","",".",".","."
"Research and Thesis","Course Total","15","4.000","93.3",".",".",".",".",".","",".","6.7","",".",".",".",".","",".",".",".","."
"N E
684","Dept. Total","168","3.386","39.9","14.9","11.3","10.1","8.3","1.2","",".","4.8","",".","5.4","0.6","3.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"684
N E","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","",".",".",".",".",".",".","",".",".","",".","80.0","20.0",".","",".",".",".","."
"Sophomore","","13","3.350","30.8","23.1","7.7",".","15.4",".","",".",".","",".","23.1",".",".","",".",".",".","."
"Junior","","10","3.300","40.0","20.0",".","20.0","10.0",".","",".",".","",".","10.0",".",".","",".",".",".","."
"Senior","","42","2.768","21.4","11.9","11.9","19.0","26.2","4.8","",".","2.4","",".","2.4",".",".","",".",".",".","."
"Undergraduates","","70","2.973","24.3","14.3","8.6","14.3","20.0","2.9","",".","1.4","",".","12.9","1.4",".","",".",".",".","."
"Graduate","","103","3.639","48.5","14.6","12.6","6.8",".",".","",".","11.7","",".",".",".","5.8","",".",".",".","."
"","Dept. Total","173","3.386","38.7","14.5","11.0","9.8","8.1","1.2","",".","7.5","",".","5.2","0.6","3.5","",".",".",".","."
