"HEC","","","","","","","","","","","","","","","","","","","",""
"FAM & CONSUMER COMMUNICA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"464
FAM COM","","","","","","","","","","","","","","","","","","","",""
"","100
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","100
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","004
100","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","","6","3.667","66.7","16.7",".","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","","8","3.500","37.5","37.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","","28","3.589","42.9","39.3","10.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","001
130","","14","3.036","14.3","21.4","57.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Media and the Family","376
001","","6","3.500","50.0","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Investgtv Reportng","430
001","","7","3.083","14.3","14.3","42.9",".","14.3",".",".",".",".",".",".",".",".","14.3",".","."
"Publications Editing","505
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Publicity Media and Methods","515
001","","7","3.500","57.1","14.3","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Publicatn,Illustratn&Layout","001
530","","7","3.429","42.9","14.3","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Internship","601
015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","699
015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"FAM COM
464","Dept. Total","","85","3.426","36.5","23.5","23.5","5.9","2.4",".","1.2",".",".","5.9",".",".",".","1.2",".","."
