"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","",""
"Intermediate Composition","Course Total","288","3.649","52.8","31.6","10.8","3.8","0.3","0.7",".",".",".",".",".",".",".",".",".","."
"","001
203","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","203
003","14","3.321","35.7","42.9","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","203
004","17","3.206","5.9","41.2","41.2","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","203
006","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Writng:Beg Fict&Poet","Course Total","58","3.457","32.8","41.4","19.0","5.2",".",".","1.7",".",".",".",".",".",".",".",".","."
"","207
001","247","3.140","16.2","31.2","31.2","13.0","5.7","1.6","0.8",".",".",".",".",".",".","0.4",".","."
"","207
002","330","3.108","11.8","30.9","36.1","14.8","4.5","0.9","0.9",".",".",".",".",".",".",".",".","."
"","207
003","191","3.160","10.5","34.0","40.8","9.4","3.7","1.6",".",".",".",".",".",".",".",".",".","."
"","207
004","196","3.212","16.8","32.1","39.3","6.1","4.1",".","1.5",".",".",".",".",".",".",".",".","."
"","207
005","273","3.164","15.4","28.9","38.1","11.0","4.4","0.7","0.7","0.4",".",".",".",".",".","0.4",".","."
"","207
006","207","3.140","13.5","28.5","42.0","11.1","2.9","0.5","1.4",".",".",".",".",".",".",".",".","."
"","007
207","31","3.633","41.9","38.7","16.1",".",".",".",".","3.2",".",".",".",".",".",".",".","."
"Intro to Modern Lit, I","Course Total","1475","3.159","14.6","31.0","37.1","11.1","4.2","0.9","0.9","0.1",".",".",".",".",".","0.1",".","."
"","208
001","142","3.014","12.0","23.2","33.1","20.4","9.9",".","0.7",".",".",".",".",".",".","0.7",".","."
"","208
002","144","2.961","10.4","25.0","36.1","14.6","6.9","2.1","2.8",".",".",".",".",".",".","2.1",".","."
"Intro Modern Lit, II","Course Total","286","2.988","11.2","24.1","34.6","17.5","8.4","1.0","1.7",".",".",".",".",".",".","1.4",".","."
"","215
001","25","2.700","20.0","12.0","28.0","16.0","12.0",".","12.0",".",".",".",".",".",".",".",".","."
"","215
002","35","2.943","11.4","34.3","34.3",".","8.6","8.6","2.9",".",".",".",".",".",".",".",".","."
"","003
215","88","2.920","10.2","27.3","28.4","18.2","9.1","6.8",".",".",".",".",".",".",".",".",".","."
"","215
004","32","2.969","15.6","18.8","18.8","37.5","9.4",".",".",".",".",".",".",".",".",".",".","."
"English Lit before 1800","Course Total","180","2.905","12.8","25.0","27.8","17.8","9.4","5.0","2.2",".",".",".",".",".",".",".",".","."
"","216
001","70","3.087","8.6","32.9","32.9","18.6","4.3","1.4",".",".",".",".",".",".",".","1.4",".","."
"","216
002","33","3.273","45.5","18.2","18.2",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"English Lit 1800-Present","Course Total","103","3.136","20.4","28.2","28.2","12.6","5.8","3.9",".",".",".",".",".",".",".","1.0",".","."
"","001
217","33","3.409","27.3","27.3","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
217","28","3.000","14.3","28.6","32.1",".","10.7","3.6","3.6","7.1",".",".",".",".",".",".",".","."
"","217
003","51","3.180","19.6","39.2","19.6","11.8","3.9",".","3.9",".",".",".",".",".",".","2.0",".","."
"American Lit 1620-Present","Course Total","112","3.203","20.5","33.0","30.4","5.4","4.5","0.9","2.7","1.8",".",".",".",".",".","0.9",".","."
"Shakespearean Drama","219
001","86","2.430","7.0","5.8","27.9","8.1","41.9","7.0","2.3",".",".",".",".",".",".",".",".","."
"Introduction to Shakespeare","226
001","39","2.500","17.9","5.1","15.4","23.1","15.4","12.8","5.1","2.6",".",".",".",".",".",".",".","2.6"
"Bascom Course","236
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","53","3.028","17.0","24.5","37.7","3.8","13.2",".","3.8",".",".",".",".",".",".",".",".","."
"Honors: Introductory Lit","281
001","26","3.462","34.6","26.9","34.6","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Creatv Wrtng:Fic&PoetWkshp","Course Total","33","3.833","78.8","9.1","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
301","15","3.600","33.3","53.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
002","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
301","15","3.533","13.3","80.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
004","13","3.308","23.1","46.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"","005
301","6","3.417","33.3","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Fiction Wrkshp","Course Total","66","3.500","24.2","59.1","13.6","1.5",".","1.5",".",".",".",".",".",".",".",".",".","."
"Intermediate Poetry Workshp","302
001","16","3.219","12.5","18.8","68.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","Page 196 of 373",""
