"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","113","3.468","30.1","42.5","18.6","4.4","0.9",".","0.9","2.7",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","7","3.000","14.3","57.1",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","210
001","82","3.073","26.8","20.7","18.3","18.3","12.2","2.4","1.2",".",".",".",".",".",".",".",".","."
"Intro to American Folklore","230
001","76","3.233","13.2","30.3","48.7","1.3","1.3",".","1.3","3.9",".",".",".",".",".",".",".","."
"Folklore of Wisconsin","320
001","44","3.288","15.9","34.1","38.6",".",".",".","2.3","9.1",".",".",".",".",".",".",".","."
"Intro to Asian Performance","326
001","7","3.239","28.6","14.3","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","10","3.574","50.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Myth","360
001","59","3.436","30.5","30.5","22.0","10.2",".",".",".","1.7",".",".",".",".",".","5.1",".","."
"Indian Folklore","394
001","19","3.083","26.3","31.6","15.8","5.3","5.3","5.3","5.3",".",".",".",".",".",".","5.3",".","."
"Musical Cultures-World","401
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"African Poetry","411
001","14","2.840","7.1","35.7","35.7","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"Cultural Productions","902
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Folklore","970
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"FOLKLORE
380","Dept. Total","437","3.288","24.9","32.3","26.5","7.1","3.2","1.1","1.4","2.5",".",".",".",".",".","0.9",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","10","3.200","20.0","30.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","110","3.216","18.2","35.5","32.7","8.2","2.7","0.9","1.8",".",".",".",".",".",".",".",".","."
"Junior","","152","3.258","26.3","33.6","19.7","9.9","4.6","2.0","1.3",".",".",".",".",".",".","2.6",".","."
"Senior","","153","3.345","26.1","30.7","30.1","3.9","2.0","0.7","1.3","5.2",".",".",".",".",".",".",".","."
"Undergraduates","","425","3.276","24.0","32.9","27.1","7.3","3.3","1.2","1.4","1.9",".",".",".",".",".","0.9",".","."
"Special","","4","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"Graduate","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","437","3.288","24.9","32.3","26.5","7.1","3.2","1.1","1.4","2.5",".",".",".",".",".","0.9",".","."
