"FINANCE, INVESTMENT & BANKI Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","",""
"","300","001","262","3.101","29.4","9.2","29.8","17.2","13.7","0.8",".",".",".",".",".",".",".",".",".","."
"","300","002","72","3.208","29.2","9.7","43.1","9.7","8.3",".",".",".",".",".",".",".",".",".",".","."
"","300","003","73","3.285","28.8","31.5","20.5","11.0","4.1","1.4","1.4",".",".",".",".",".",".",".",".","1.4"
"Introduction to Finance","","Course Total","407","3.153","29.2","13.3","30.5","14.7","11.1","0.7","0.2",".",".",".",".",".",".",".",".","0.2"
"Finc Mrkts,Instns&Econ Actv","305","001","48","2.917","18.8","14.6","20.8","27.1","16.7","2.1",".",".",".",".",".",".",".",".",".","."
"Investments","320","001","106","3.224","20.8","25.5","36.8","9.4","6.6",".",".","0.9",".",".",".",".",".",".",".","."
"Corporation Finance","325","001","94","3.133","23.4","23.4","30.9","5.3","14.9","2.1",".",".",".",".",".",".",".",".",".","."
"Reading & Research-Finance","399","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Bank Management","410","001","47","2.926","14.9","23.4","31.9","12.8","8.5","6.4","2.1",".",".",".",".",".",".",".",".","."
"Multinational Bus Finance","445","001","57","2.947","19.3","10.5","43.9",".","22.8","3.5",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","535","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","630","001","33","3.547","36.4","33.3","27.3",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"","630","002","44","3.512","36.4","31.8","27.3",".","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Options & Financial Futures","","Course Total","77","3.527","36.4","32.5","27.3",".","1.3",".",".","2.6",".",".",".",".",".",".",".","."
"Security Analysis","635","001","52","3.410","26.9","28.8","36.5","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"","700","001","35","3.500","22.9","54.3","22.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","002","16","3.625","31.3","62.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Financial Mgmnt","","Course Total","51","3.539","25.5","56.9","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financial Market&Bus Condtn","705","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financl Mgt-Depository Inst","710","001","19","3.395","31.6","26.3","31.6","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory&Practice","720","001","43","3.372","20.9","37.2","37.2","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Corporatn Finance Thry&Prac","725","001","44","3.591","50.0","25.0","20.5","2.3","2.3",".",".",".",".",".",".",".",".",".",".","."
"Invest Mgt-Finan Institutns","740","001","43","3.548","20.9","65.1","11.6",".",".",".",".","2.3",".",".",".",".",".",".",".","."
"Multinational Bus Finance","745","001","21","3.475","33.3","23.8","38.1",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"Market for Corporate Contrl","750","001","16","3.688","62.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","023","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","101","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Research-Finance","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Intmed Theory-Bus Finance","825","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Security Anal&Invstmt Mgt 1","835","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Finance PhD","970","001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Workshop in Finance","973","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","028","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Finance","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","999","028","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","101","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Finance PhD","","Course Total","3","***","","","","","","","","","","","","","","","",""
