"EDUCATIONAL PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"315
ED PSYCH","","","","","","","","","","","","","","","","","","",""
"","301
001","92","3.174","23.9","26.1","25.0","17.4","5.4","1.1","1.1",".",".",".",".",".",".",".",".","."
"","002
301","116","3.595","62.9","14.7","10.3","6.0","4.3","1.7",".",".",".",".",".",".",".",".",".","."
"Human Abilities & Learning","Course Total","208","3.409","45.7","19.7","16.8","11.1","4.8","1.4","0.5",".",".",".",".",".",".",".",".","."
"","001
320","133","3.413","43.6","28.6","11.3","7.5","6.0","2.3","0.8",".",".",".",".",".",".",".",".","."
"","320
002","96","3.388","43.8","25.0","11.5","5.2","7.3","2.1","1.0","4.2",".",".",".",".",".",".",".","."
"Human Dev-Infancy&Childhood","Course Total","229","3.403","43.7","27.1","11.4","6.6","6.6","2.2","0.9","1.7",".",".",".",".",".",".",".","."
"","321
001","93","2.893","23.7","12.9","30.1","4.3","20.4","3.2","3.2","1.1",".",".",".",".",".",".","1.1","."
"","321
002","103","3.714","49.5","40.8","6.8",".","1.0",".",".","1.0",".",".",".",".",".","1.0",".","."
"Human Develop-Adolescence","Course Total","196","3.315","37.2","27.6","17.9","2.0","10.2","1.5","1.5","1.0",".",".",".",".",".","0.5","0.5","."
"Hum Devel Chldhood-Adolescn","331
001","46","3.641","56.5","23.9","10.9","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Research in Ed Psych","509
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Prof School Psych","540
001","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Appl Behav Anal in Classrms","541
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Found of Ed Measurement","570
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
026","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading-Undergrad","Course Total","2","***","","","","","","","","","","","","","","","",""
"The Study of Teaching","708
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Current Topics-Ed Psych","711
003","6","3.583","16.7","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment Tech-Schools II","741
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Assessment Techniques","745
001","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
001","47","3.565","44.7","21.3","31.9",".",".",".",".",".",".",".",".",".",".",".",".","2.1"
"","760
002","23","3.409","30.4","17.4","47.8",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Stat Meth Appl to Educ I","Course Total","70","3.515","40.0","20.0","37.1",".",".",".",".","1.4",".",".",".",".",".",".",".","1.4"
"Stat Meth-Applied to Ed II","761
001","19","3.658","52.6","36.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"Intro: Dsgn-Ed Experiments","762
001","11","3.727","72.7",".","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cognition&Classrm Learng I","795
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","840
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","840
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Pract-School Psych","Course Total","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chld&Adoles Psychpathl/Schl","844
001","10","4.000","90.0",".",".",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Multivariate Analysis","862
001","18","3.750","66.7","11.1","5.6",".","5.6",".",".","5.6",".",".",".",".",".",".",".","5.6"
"Seminar-Child Development","920
001","12","3.672","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921
001","8","3.690","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","921
002","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Adolescent Development","Course Total","26","3.886","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Internshp-School Psychology","943
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in School Psychology","948
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
