"GERMAN","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","","",""
"","799
017","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","799
028","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","799
032","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Study","Course Total","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Bibliography and Methods","939
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".","",".",".","",".",".","",".",".","."
"Prosem-German Literature","940
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".","",".",".","",".",".","",".",".","."
"Seminar in German Lit","947
001","10","3.688","40.0","30.0","10.0",".",".",".",".","20.0",".","",".",".","",".",".","",".",".","."
"Philological Seminar","970
001","6","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".","",".",".","."
"","990
003","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
006","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
017","4","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
018","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
025","2","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
028","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"","990
032","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Individual Research in Lit","Course Total","13","4.000","23.1",".",".",".",".",".",".","53.8","",".",".","",".","23.1","",".",".",".","."
"Linguistc&Germanic Philolgy","991
010","5","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"GERMAN
424","Dept. Total","1013","3.423","45.1","18.5","21.0","5.4","4.1","0.7","0.9","3.5","",".",".","",".","0.4","",".","0.1","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"424
GERMAN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","330","3.335","36.4","20.3","30.3","6.1","4.5","0.9","1.2","0.3","",".",".","",".",".","",".",".",".","."
"Sophomore","","173","3.349","39.9","19.1","30.1","4.6","4.0",".","2.3",".","",".",".","",".",".","",".",".",".","."
"Junior","","138","3.395","38.4","23.2","18.8","8.7","5.1","0.7",".","3.6","",".",".","",".","0.7","",".","0.7",".","."
"Senior","","152","3.348","45.4","18.4","15.1","9.2","7.2","2.0","0.7","2.0","",".",".","",".",".","",".",".",".","."
"Undergraduates","","793","3.350","39.2","20.2","25.3","6.8","5.0","0.9","1.1","1.1","",".",".","",".","0.1","",".","0.1",".","."
"Special","","24","3.513","33.3","29.2","20.8",".","4.2",".",".","8.3","",".",".","",".",".","",".",".","4.2","."
"Graduate","","193","3.858","69.9","10.4","3.6","0.5","0.5",".",".","12.4","",".",".","",".","1.6","",".",".",".","1.0"
"Prof Yr 2","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"","Dept. Total","1013","3.423","45.1","18.5","21.0","5.4","4.1","0.7","0.9","3.5","",".",".","",".","0.4","",".","0.1","0.1","0.2"
