"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"Intro to Political Analysis","101","001","54","2.806","11.1","14.8","13.0","46.3","14.8",".",".",".",".",".",".",".",".",".",".","."
"","104","001","417","2.801","14.1","14.4","31.4","12.9","20.1","6.2","0.7",".",".",".",".",".",".",".",".","."
"","104","002","437","2.857","9.4","21.7","31.6","16.5","17.2","1.8","1.8",".",".",".",".",".",".",".",".","."
"Intro-Amer Politcs&Governmt","","Course Total","854","2.830","11.7","18.1","31.5","14.8","18.6","4.0","1.3",".",".",".",".",".",".",".",".","."
"","106","001","254","3.000","10.2","28.7","35.8","12.2","8.3","2.8","1.6",".",".",".",".",".",".","0.4",".","."
"","106","002","208","3.298","35.1","17.8","32.2","5.3","7.7","1.9",".",".",".",".",".",".",".",".",".","."
"Intro-Comparative Politics","","Course Total","462","3.134","21.4","23.8","34.2","9.1","8.0","2.4","0.9",".",".",".",".",".",".","0.2",".","."
"Intro Politics-Honors Crse","181","001","28","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","199","004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Intro to State Government","205","001","88","3.379","42.0","21.6","17.0","8.0","9.1","1.1",".",".",".",".",".",".",".","1.1",".","."
"Intro to Political Theory","209","001","75","3.061","18.7","18.7","40.0","9.3","9.3",".","2.7",".",".",".",".",".",".","1.3",".","."
"Urban Politics","213","001","32","2.867","6.3","28.1","25.0","15.6","15.6",".","3.1","6.3",".",".",".",".",".",".",".","."
"Law, Politics and Society","217","001","80","3.088","5.0","32.5","45.0","12.5","3.8","1.3",".",".",".",".",".",".",".",".",".","."
"Intro to Public Policy","219","001","120","3.179","10.8","37.5","31.7","16.7","3.3",".",".",".",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","11","2.636",".","36.4","18.2","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".","."
"Politcs:Multi-Cultural Soc","230","001","108","3.126","10.2","31.5","41.7","10.2","3.7","0.9","0.9",".","0.9",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","12","3.542","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","8","3.357","50.0","12.5",".",".","25.0",".",".","12.5",".",".",".",".",".",".",".","."
"Intro-Latin Amer Politics","261","001","85","3.110","23.5","25.9","23.5","9.4","9.4","2.4","2.4","3.5",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","275","001","127","3.087","5.5","30.7","45.7","11.8","4.7","0.8",".",".",".",".",".",".",".","0.8",".","."
"Africa: Introductory Survey","277","001","19","3.105","26.3","21.1","26.3","10.5","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Politics of World Economy","312","001","84","3.069","15.5","31.0","31.0","14.3","2.4","3.6","2.4",".",".",".",".",".",".",".",".","."
"Conduct-Am Foreign Affairs","323","001","54","3.028","14.8","18.5","33.3","24.1","9.3",".",".",".",".",".",".",".",".",".",".","."
"Eur Union:Politics&Pol Econ","338","001","22","3.318","27.3","18.2","50.0",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Intrnatl Relations","339","001","21","3.288","4.8","57.1","33.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Probs-Amer Foreign Policy","359","001","79","3.013","10.1","20.3","39.2","17.7","10.1",".",".",".",".",".",".",".",".",".","1.3","1.3"
"International Relations","375","001","166","2.939","13.9","28.3","24.1","13.9","12.0","6.6","0.6","0.6",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","22","3.618","45.5","36.4","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","38","2.905","10.5","21.1","34.2","13.2","15.8",".","2.6","2.6",".",".",".",".",".",".",".","."
"","401","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","110","8","3.313","25.0","25.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Poli Sci","","Course Total","12","3.250","25.0","25.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","404","001","156","2.789","10.3","22.4","25.0","20.5","13.5","6.4","1.9",".",".",".",".",".",".",".",".","."
"","404","002","33","3.063","12.1","27.3","33.3","21.2",".",".","3.0","3.0",".",".",".",".",".",".",".","."
"Amer Politics & Government","","Course Total","189","2.836","10.6","23.3","26.5","20.6","11.1","5.3","2.1","0.5",".",".",".",".",".",".",".","."
"The American Presidency","408","001","67","2.891","11.9","23.9","19.4","19.4","14.9",".","3.0","7.5",".",".",".",".",".",".",".","."
"Constitutional Law","411","001","99","3.135","10.1","33.3","33.3","13.1","7.1",".",".","3.0",".",".",".",".",".",".",".","."
"Amer Parties & Politics","424","001","60","2.856","13.3","30.0","20.0","11.7","13.3","6.7","3.3","1.7",".",".",".",".",".",".",".","."
"Legislative Internship","427","001","19","3.026","10.5","42.1","15.8","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".","."
