"THERAPEUTIC SCI (DEPT-KINES Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","",""
"Course Total
Research and Thesis","3","***","","","","","","","","","","","","","","","","","","","",""
"THER SCI
Dept. Total
939","1219","3.647","43.0","18.9","10.3","1.0","0.2","",".","0.1","0.2","",".","26.2","0.1","",".","",".",".","0.1","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","13","3.577","38.5","38.5","23.1",".",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"Sophomore","24","3.750","62.5","29.2","4.2","4.2",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"Junior","179","3.547","30.7","35.2","15.6","0.6","1.1","",".",".","0.6","",".","16.2",".","",".","",".",".",".","."
"Senior","989","3.662","44.1","15.7","9.4","1.0",".","",".","0.1","0.2","",".","29.3","0.1","",".","",".",".","0.1","."
"Undergraduates","1205","3.643","42.4","19.1","10.4","1.0","0.2","",".","0.1","0.2","",".","26.5","0.1","",".","",".",".","0.1","."
"Special","5","3.857","80.0",".","20.0",".",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"Graduate","9","4.000","100.0",".",".",".",".","",".",".",".","",".",".",".","",".","",".",".",".","."
"Dept. Total","1219","3.647","43.0","18.9","10.3","1.0","0.2","",".","0.1","0.2","",".","26.2","0.1","",".","",".",".","0.1","."
