"PHILOSOPHY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"524
Philosophy and Economics","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"526
Philosophy and Literature","001","","13","3.000","7.7","23.1","46.2","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"540
Modern Philosophies of Ed","001","","6","3.800","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".","."
"543
Special Topics in Ethics","001","","19","3.278","31.6","21.1","15.8","21.1","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"555
Political Philosophy","001","","23","2.909","17.4","30.4","21.7","4.3","8.7","8.7","4.3","4.3",".",".",".",".",".",".",".","."
"581
Senior Honors Seminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"599","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"681
Senior Honors Thesis","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691
Senior Thesis","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"799","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"830
Advanced Hist of Philosophy","001","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"916
Smr-Philos of Language","001","","14","3.846","64.3","28.6",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"920
Smr-Philosophy of Science","001","","13","3.731","46.2","53.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"930
Smr-History of Philosophy","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"941
Seminar-Ethics","001","","7","3.833","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"951
Seminar-Philosophy of Mind","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"960
Metaphysics Seminar","001","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","40","4.000","40.0",".",".",".",".",".",".","57.5",".",".",".","2.5",".",".",".","."
