"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","7441","2.650","20.3","10.5","22.3","9.8","22.2","9.0","4.6","0.1","0.0","0.9","0.1","",".","",".","0.2","0.0","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3936","2.614","16.4","9.9","23.0","10.9","23.6","9.9","4.9",".",".","1.1","0.1","",".","",".","0.2",".","."
"Sophomore","","1798","2.550","17.1","9.7","23.7","9.0","23.8","10.2","5.0",".",".","1.2","0.1","",".","",".","0.2","0.1","0.1"
"Junior","","802","2.648","22.1","11.7","21.4","10.0","22.2","6.6","5.0","0.2",".","0.4",".","",".","",".","0.2","0.1","."
"Senior","","509","2.691","22.8","15.7","21.2","9.0","19.1","7.9","3.9",".",".",".",".","",".","",".","0.4",".","."
"Undergraduates","","7045","2.605","17.7","10.5","22.9","10.1","23.2","9.5","4.9","0.0",".","1.0","0.1","",".","",".","0.2","0.0","0.0"
"Special","","63","3.398","52.4","9.5","17.5","6.3","7.9",".","3.2","3.2",".",".",".","",".","",".",".",".","."
"Graduate","","332","3.657","69.0","9.6","11.4","2.1","5.1",".","0.3","1.5","0.3",".",".","",".","",".","0.3","0.3","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","7441","2.650","20.3","10.5","22.3","9.8","22.2","9.0","4.6","0.1","0.0","0.9","0.1","",".","",".","0.2","0.0","0.0"
