"Veterinary Physiology A","551
001","81","3.037","29.6","11.1","34.6","6.2","11.1","4.9","2.5",".","",".","",".",".","",".","",".","",".",".","."
"","699
007","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","699
016","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","","","","","","",""
"COMP BIO
934","Dept. Total","323","3.075","23.8","25.7","24.8","10.5","10.8","1.9","1.2","",".","",".",".","",".","",".","",".",".",".","1.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","2","3.667","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","1","1.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","320","3.081","23.8","25.6","25.0","10.6","10.9","1.6","1.3","",".","",".",".","",".","",".","",".",".",".","1.3"
"Professionals","","320","3.081","23.8","25.6","25.0","10.6","10.9","1.6","1.3","",".","",".",".","",".","",".","",".",".",".","1.3"
"","Dept. Total","323","3.075","23.8","25.7","24.8","10.5","10.8","1.9","1.2","",".","",".",".","",".","",".","",".",".",".","1.2"
