"LANDSCAPE ARCHITECTURE","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","","","",""
"","201","001","","26","3.269","15.4","42.3","30.8","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","201","002","","26","3.100","15.4","26.9","38.5","7.7","3.8",".","3.8",".",".",".",".",".",".",".",".","3.8"
"Intro Land Arc Studio","","Course Total","","52","3.186","15.4","34.6","34.6","5.8","5.8",".","1.9",".",".",".",".",".",".",".",".","1.9"
"Survey of Land Arch Design","250","002","","87","2.884","5.7","21.8","26.4","27.6","11.5","1.1",".","1.1",".",".",".",".",".","2.3",".","2.3"
"Prin Land Arc Dsgn&Graphics","261","001","","26","3.346","15.4","42.3","38.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262","001","","41","3.317","31.7","24.4","29.3","9.8","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","263","001","","16","3.594","68.8","12.5","6.3","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","263","002","","14","3.500","57.1",".","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Plants I","","Course Total","","30","3.550","63.3","6.7","16.7","10.0",".","3.3",".",".",".",".",".",".",".",".",".","."
"Independent Studies","299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354","001","","23","3.783","73.9","13.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365","001","","23","3.196","21.7","8.7","56.5","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550","001","","20","3.025","20.0","25.0","25.0","10.0","15.0","5.0",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610","001","","20","3.361","25.0","35.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Aesthetic Assessmnt-Landscp","654","001","","23","2.717","4.3","8.7","34.8","30.4","21.7",".",".",".",".",".",".",".",".",".",".","."
"Dsgn&Mgt: Native Plant Com","666","001","","22","3.273","54.5","4.5","22.7","4.5","4.5","4.5","4.5",".",".",".",".",".",".",".",".","."
"Cult Rsrce Presrv&Lndsc Hst","677","001","","23","3.227","26.1","21.7","30.4","4.3","13.0",".",".","4.3",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695","001","","15","3.133",".","33.3","60.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Special Problems-Land Arch","699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories-Landscape Change","710","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Pol&Mgmt-National Parks","749","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940","001","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","16","4.000","68.8",".",".",".",".",".",".","12.5",".",".",".","18.8",".",".",".","."
"","999","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","999","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","","Course Total","","4","***","","","","","","","","","","","","","","","",""
