"E ASIAN LANGUAGES & LITERA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"295
E ASIAN","","","","","","","","","","","","","","","","","","","",""
"763
Studies-Japanese Literature","001","","7","3.500","28.6","42.9","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Reading for Research","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Smr-Chinese Linguistics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"933
Smr-Japanese Linguistics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"951
Smr-Chinese Literature","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","13","4.000","7.7",".",".",".",".",".",".","76.9",".",".",".","15.4",".",".",".","."
"999
Independent Research","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E ASIAN
295","Dept. Total","","555","3.208","28.8","24.1","19.3","9.7","7.2","2.3","1.4","5.8",".","0.5",".","0.4",".","0.2",".","0.2"
