"ELECTRICAL AND COMPUTER E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","",""
"","377","002","","21","2.762","23.8","19.0","9.5","19.0","9.5","19.0",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","","Course Total","","62","2.770","19.4","17.7","19.4","14.5","12.9","12.9","1.6","1.6",".",".",".",".",".",".",".","."
"","399","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","411","001","","21","2.929","14.3","33.3","23.8","9.5","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"","411","003","","13","3.385","38.5","15.4","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Electric Drive Sys","","Course Total","","34","3.103","23.5","26.5","26.5","11.8","5.9","2.9","2.9",".",".",".",".",".",".",".",".","."
"State Space System Analysis","416","001","","9","3.625","22.2","66.7",".",".",".",".",".",".",".",".",".",".",".",".","11.1","."
"Electromag Wave Transmissn","420","001","","28","3.179","32.1","10.7","21.4","32.1","3.6",".",".",".",".",".",".",".",".",".",".","."
"Electric Power Systems","427","001","","12","2.417",".","25.0","8.3","25.0","25.0","16.7",".",".",".",".",".",".",".",".",".","."
"Random Signal Analysis","430","001","","21","2.976","28.6","14.3","28.6","9.5","9.5","4.8","4.8",".",".",".",".",".",".",".",".","."
"Digital Signal Processing","431","001","","61","2.800","11.5","19.7","19.7","26.2","16.4","3.3","1.6","1.6",".",".",".",".",".",".",".","."
"Microwave-Devices&Applicatn","444","001","","7","3.000","14.3","14.3","28.6","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Applied Communications Sys","447","001","","43","2.860","25.6",".","25.6","23.3","23.3","2.3",".",".",".",".",".",".",".",".",".","."
"Medical Instrumentation","462","001","","8","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computers in Medicine","463","001","","16","3.438","43.8","25.0","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Computer Proj in Cntrl&Inst","468","001","","22","3.750","63.6","31.8",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","491","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","020","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","491","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Design Project","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Power Electronics Lab","512","001","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Optical Fiber Communication","535","001","","10","3.400","20.0","40.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Integrated Circuit Design","548","001","","14","3.643","50.0","28.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","552","001","","32","3.048","21.9","40.6","12.5",".","12.5","3.1","6.3","3.1",".",".",".",".",".",".",".","."
"","552","002","","26","3.173","19.2","34.6","23.1","7.7","15.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Computer Architecture","","Course Total","","58","3.105","20.7","37.9","17.2","3.4","13.8","1.7","3.4","1.7",".",".",".",".",".",".",".","."
"Testing Desgn - Digital Sys","553","001","","19","3.342","31.6","31.6","21.1","5.3","10.5",".",".",".",".",".",".",".",".",".",".","."
"Digital Engineering Lab","554","001","","23","3.609","52.2","26.1","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Dsgn Automation Digital Sys","556","001","","10","3.250","40.0","10.0","10.0","40.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Elec&Computer Engr","601","002","","8","3.750","50.0","12.5","12.5",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"","602","001","","21","3.722","42.9","38.1","4.8",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"","602","002","","20","3.579","55.0","30.0","5.0",".",".",".","5.0","5.0",".",".",".",".",".",".",".","."
"Spec Topics-Elec&Comptr Eng","","Course Total","","41","3.649","48.8","34.1","4.9",".",".",".","2.4","9.8",".",".",".",".",".",".",".","."
"","699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
