"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","40","2.913","17.5","5.0","47.5","7.5","20.0","2.5",".",".","",".",".","",".",".","",".",".",".","."
"Junior","76","2.902","21.1","9.2","26.3","14.5","27.6",".",".","1.3","",".",".","",".",".","",".",".",".","."
"Senior","77","3.106","28.6","11.7","36.4","2.6","16.9","1.3","2.6",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","194","2.990","23.2","9.3","35.1","8.2","21.6","1.0","1.0","0.5","",".",".","",".",".","",".",".",".","."
"Special","12","3.235","25.0","8.3","50.0",".","8.3",".",".",".","",".",".","",".",".","",".",".","8.3","."
"Graduate","107","3.829","55.1","4.7","4.7",".",".",".",".","34.6","",".",".","",".","0.9","",".",".",".","."
"Prof Yr 1","129","3.570","58.9","0.8","38.0",".","2.3",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"Professionals","131","3.571","59.5","0.8","37.4",".","2.3",".",".",".","",".",".","",".",".","",".",".",".","."
