"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"101
Livestock Production","001","","43","2.686","11.6","16.3","23.3","14.0","27.9","4.7","2.3",".",".",".",".",".",".",".",".","."
"299","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"305
Lactation","001","","8","3.500","50.0","25.0","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"311
Comparative Animal Nutritn","001","","22","2.364","4.5","4.5","27.3","13.6","36.4","13.6",".",".",".",".",".",".",".",".",".","."
"313","001","","13","3.308","38.5","15.4","30.8",".","15.4",".",".",".",".",".",".",".",".",".",".","."
"313","002","","14","3.292","42.9","14.3","7.1","7.1","7.1","7.1",".","14.3",".",".",".",".",".",".",".","."
"Animal Feeds&Diet Formulatn","Course Total","","27","3.300","40.7","14.8","18.5","3.7","11.1","3.7",".","7.4",".",".",".",".",".",".",".","."
"370
Livestck Prod&Hlth-Ag Dvlpm","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"690
Proseminar","001","","13","3.423","7.7","69.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Dairy Science Tchng","Course Total","","4","***","","","","","","","","","","","","","","","",""
"875","001","","7","3.214","42.9","14.3","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"875","002","","11","3.200","18.2","9.1","54.5","9.1",".",".",".","9.1",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","18","3.210","27.8","11.1","38.9","5.6","11.1",".",".","5.6",".",".",".",".",".",".",".","."
"900","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"900","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar","Course Total","","23","3.944","73.9",".","4.3",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","","Page 15 of 373"
