"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"790","006","","13","3.800","69.2","15.4","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Practicum in Com Disorders","Course Total","","76","3.832","75.0","18.4","2.6","2.6",".",".",".",".",".",".",".",".",".","1.3",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","9","3.867","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Assess Mthd-Speech/Lang Dis","001","","16","3.667","37.5","50.0","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"840
Lang Probs-Schl Age Chldrn","001","","19","3.421","42.1","10.5","36.8","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"920
Seminar-Auditory Disorders","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"921
Smr-Prob in Audiology","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"940
Lang Pathology-Children","001","","6","3.912","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"942
Lang Pathology-Adults","001","","16","3.805","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"945
Smr: Language & Cognition","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","14","4.000","64.3",".",".",".",".",".",".","28.6",".",".",".","7.1",".",".",".","."
"999","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
