"ENGLISH","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","",""
"Intensv English as 2nd Lang","Course Total","","39","",".",".",".",".",".",".",".",".",".","97.4","2.6",".",".",".",".","."
"","112
001","","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"","112
002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","112
003","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","112
004","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Eng 2nd Lang:Pronunctn&Comp","Course Total","","59","",".",".",".",".",".",".",".",".",".","98.3","1.7",".",".",".",".","."
"Eng 2nd Lang:Spoken English","114
001","","13","",".",".",".",".",".",".",".",".",".","92.3","7.7",".",".",".",".","."
"","115
001","","14","",".",".",".",".",".",".",".",".",".","85.7","14.3",".",".",".",".","."
"","115
002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","115
003","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Eng 2nd Lang: Eng Grammar","Course Total","","43","",".",".",".",".",".",".",".",".",".","95.3","4.7",".",".",".",".","."
"","116
001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
002","","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
003","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","116
004","","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"Eng 2nd Lang:Vocab Exp&Read","Course Total","","66","",".",".",".",".",".",".",".",".",".","98.5","1.5",".",".",".",".","."
"","117
001","","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
003","","17","",".",".",".",".",".",".",".",".",".","94.1",".",".",".","5.9",".","."
"","004
117","","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"","117
006","","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","117
007","","17","",".",".",".",".",".",".",".",".",".","94.1","5.9",".",".",".",".","."
"Eng 2nd Lang:English Comp","Course Total","","82","",".",".",".",".",".",".",".",".",".","96.3","2.4",".",".","1.2",".","."
"","118
001","","14","3.286","28.6","50.0","7.1","7.1",".",".","7.1",".",".",".",".",".",".",".",".","."
"","118
002","","16","3.750","68.8","12.5","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
118","","13","3.577","46.2","30.8","15.4","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","118
005","","15","3.767","80.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","118
006","","15","3.533","20.0","66.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
118","","13","3.615","46.2","30.8","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Eng as 2nd Lang:Composition","Course Total","","86","3.593","48.8","32.6","14.0","2.3","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","201
001","","17","3.206","17.6","41.2","11.8","23.5","5.9",".",".",".",".",".",".",".",".",".",".","."
"","201
002","","15","3.300","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","201
004","","19","3.526","36.8","36.8","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
005","","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
201","","17","3.559","35.3","47.1","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","201
008","","21","3.762","66.7","19.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
201","","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
201","","19","3.711","57.9","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","201
012","","18","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","","18","3.639","44.4","38.9","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
014","","20","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
015","","18","3.444","55.6","27.8",".","5.6",".","11.1",".",".",".",".",".",".",".",".",".","."
"","201
016","","18","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","017
201","","16","3.594","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
018","","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"March 29, 2013","","","","","","","","","","","","","","","","","","","Page 195 of 373",""
