"EDU","","","","","","","","","","","","","","","","","","","",""
"CURRICULUM AND INSTRUCTIO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"272
CURRIC","","","","","","","","","","","","","","","","","","","",""
"Practicum-Teaching Japanese","208
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg English as a 2nd Lang","244
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Tching French","246
001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Tching German","247
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Latin","255
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practm:Secondry Sch Spanish","256
001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","290
001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","290
002","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","290
003","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Secondary Sci Ed","Course Total","","27","3.926","92.6",".","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practm-Secondry Sch English","296
001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","303
001","","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","303
003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teach Reading-Content Field","Course Total","","27","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","001
305","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","","19","3.842","73.7","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Rdg & Other Lang Arts","Course Total","","41","3.841","70.7","26.8","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Teaching Japanese","308
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
313","","9","3.889","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
003","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wrt/Spk/Lstn-Mid/Sec Curric","Course Total","","29","3.828","72.4","20.7","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
001","","21","3.929","90.5","4.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","16","3.781","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teachng Art:Pre-Middle Schl","Course Total","","53","3.887","83.0","11.3","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Choral Music-Sec Schl","332
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Tchg Gen Music-Elem School","333
001","","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Tchg Instrum Music-Elem","335
001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","337
002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
337","","11","3.818","90.9",".",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","Course Total","","26","3.865","88.5","3.8","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"Meth-Tchg English-2nd Lang","344
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching of French","346
001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of German","347
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Russian","353
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","354
001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","354
002","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tchg Music:Presch-Middl Sch","Course Total","","46","3.989","97.8","2.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching of Latin","001
355","","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
