"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","",""
"","160
001","62","3.064","19.4","21.0","30.6","9.7","11.3","1.6","1.6","1.6",".",".",".",".",".","3.2",".","."
"","002
160","36","2.472","5.6","11.1","30.6","5.6","36.1","8.3","2.8",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","98","2.878","14.3","17.3","30.6","8.2","20.4","4.1","2.0","1.0",".",".",".",".",".","2.0",".","."
"","001
202","336","2.656","19.6","10.7","18.2","14.0","24.4","11.3","1.8",".",".",".",".",".",".",".",".","."
"","202
002","342","2.563","15.8","13.7","14.9","12.9","28.4","11.4","2.9",".",".",".",".",".",".",".",".","."
"","003
202","331","2.698","20.2","7.6","21.8","14.2","27.8","6.0","2.4",".",".",".",".",".",".",".",".","."
"","202
004","331","2.608","15.4","12.1","16.3","14.5","30.2","9.7","1.2","0.6",".",".",".",".",".",".",".","."
"","202
005","328","2.618","16.8","15.9","13.7","12.8","27.7","9.8","3.0","0.3",".",".",".",".",".",".",".","."
"Introduction to Psychology","Course Total","1668","2.628","17.6","12.0","17.0","13.7","27.7","9.7","2.3","0.2",".",".",".",".",".",".",".","."
"","210
001","58","2.586","10.3","20.7","27.6","17.2","6.9","5.2","12.1",".",".",".",".",".",".",".",".","."
"","002
210","63","2.492","15.9","4.8","23.8","9.5","30.2","9.5","4.8","1.6",".",".",".",".",".",".",".","."
"","003
210","47","2.553","10.6","10.6","25.5","10.6","34.0","4.3","4.3",".",".",".",".",".",".",".",".","."
"","210
004","57","2.728","3.5","17.5","29.8","29.8","15.8","1.8","1.8",".",".",".",".",".",".",".",".","."
"","210
005","55","3.345","34.5","23.6","27.3","5.5","9.1",".",".",".",".",".",".",".",".",".",".","."
"","210
006","49","3.323","36.7","18.4","28.6","8.2","4.1",".","2.0",".",".",".",".",".",".",".","2.0","."
"Psychometric Methods","Course Total","329","2.824","18.2","15.8","27.1","13.7","16.7","3.6","4.3","0.3",".",".",".",".",".",".","0.3","."
"","001
225","41","2.829","12.2","14.6","29.3","24.4","17.1",".","2.4",".",".",".",".",".",".",".",".","."
"","225
002","35","2.886","11.4","25.7","22.9","14.3","22.9","2.9",".",".",".",".",".",".",".",".",".","."
"","003
225","36","2.847","13.9","19.4","25.0","11.1","27.8","2.8",".",".",".",".",".",".",".",".",".","."
"","004
225","30","2.617","23.3",".","20.0","16.7","33.3",".","6.7",".",".",".",".",".",".",".",".","."
"Experimental Psychology","Course Total","142","2.803","14.8","15.5","24.6","16.9","24.6","1.4","2.1",".",".",".",".",".",".",".",".","."
"Honors-Psychometric Methods","280
001","20","3.725","70.0","15.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Honors Crse-Intro to Psych","281
001","21","3.548","57.1","19.0","9.5","4.8","9.5",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hum Neurpsych:Cognitn&Brain","354
001","41","2.756","19.5","12.2","26.8","12.2","19.5","4.9","4.9",".",".",".",".",".",".",".",".","."
"","386
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","386
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Psych for Honors","Course Total","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psych of Human Emotions","408
001","182","2.917","21.4","22.0","13.2","16.5","22.0","2.7","1.6",".",".",".",".",".",".","0.5",".","."
"Psychometric Methods II","410
001","29","3.397","44.8","17.2","31.0",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","411
002","14","3.357","28.6","21.4","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","411
003","11","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"","411
004","18","3.441","44.4","16.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".","5.6","."
"","005
411","32","3.594","46.9","25.0","28.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
006","25","3.540","28.0","56.0","12.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","411
007","23","3.478","39.1","30.4","17.4","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","016
411","28","3.482","39.3","25.0","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","411
018","25","3.800","64.0","32.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
019","22","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","411
020","24","3.583","45.8","25.0","29.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","099
411","16","3.531","31.3","43.8","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics - Psychology","Course Total","238","3.563","42.9","31.9","20.2","3.8","0.8",".",".",".",".",".",".",".",".",".","0.4","."
